Clinical and ELISA data	Clinical: Body Mass Index	Clinical: Diastolic Blood Pressure	Clinical: Glucose	Clinical: High-Density Lipoproteins	Clinical: Low-Density Lipoproteins	Clinical: Systolic Blood Pressure	Clinical: Thyroglobulin	Clinical: Total Blood Cholesterol	Clinical: Waist Circumference	ELISA: ASPR	ELISA: FGF21	ELISA: HOMA	ELISA: Insulin	ELISA: Irisin	ELISA: Leptin	ELISA: Myostatin/GDF8	ELISA: Resistin	ELISA: VEGF
Clinical: Body Mass Index	1.0	0.012102242778163484	-0.012577027898104	0.058728423252047524	-0.06433165397089322	0.004466656911109807	-0.07018086816918256	-0.008643274829796734	0.4867310055668176	-0.028586954746883855	-0.00273783648731269	0.2560281133420774	0.2603951404310459	0.11237344045117217	0.4839552773190711	-0.11554874217065719	0.06809753219107148	0.03406474768106516
Clinical: Diastolic Blood Pressure	0.012102242778163484	1.0	-0.04556766061720622	0.44896941368056636	0.3120996885074751	0.7146156757600738	0.07430975015803903	0.31576918057919584	-0.01719422998963113	0.10812776471835854	0.14289015365254895	0.012702359908594587	0.0	-0.2908238907568658	0.2054101117268891	0.30783978165076353	0.04982576565720671	-0.030549577922685
Clinical: Glucose	-0.012577027898104	-0.04556766061720622	1.0	0.048281870429379495	0.031282308857729445	-0.2350813719667371	-0.01062130016723421	-0.057395176977391035	-0.227728454724632	0.11639537312326736	0.13334966504724188	0.242202286522094	0.1675590616919619	0.16010627841274402	0.07513859268697844	-0.028500982900698493	-0.14417217471813987	-0.058165774751156675
Clinical: High-Density Lipoproteins	0.058728423252047524	0.44896941368056636	0.048281870429379495	1.0	0.47287204860731025	0.26741318975163364	-0.29853576009216215	0.4891941230713178	-0.05547205878703168	-0.021893133857385595	0.18812202746237164	0.047811331484259985	0.04534185699017925	0.03893696202513116	0.1729602919771213	0.15847131281217977	0.05790532986454142	-0.16737108253303218
Clinical: Low-Density Lipoproteins	-0.06433165397089322	0.3120996885074751	0.031282308857729445	0.47287204860731025	1.0	0.04155717186381769	-0.04422535913118233	0.9276497922283364	-0.010906888767525118	0.23637319727106643	-0.0218740717219	-0.008916001916320526	-0.00919497107576084	-0.017991582466257754	0.0016888722384050521	0.10802969753559749	-0.062206794114586086	-0.1860978202018905
Clinical: Systolic Blood Pressure	0.004466656911109807	0.7146156757600738	-0.2350813719667371	0.26741318975163364	0.04155717186381769	1.0	0.05418366329799742	0.06140249229565563	-0.11449076408805532	-0.03685317803108868	0.23177994186125125	0.1767419193919489	0.17297133315016378	-0.415012270941213	0.18785469110461803	0.2896929187811242	0.22210549562800952	0.0539297708393281
Clinical: Thyroglobulin	-0.07018086816918256	0.07430975015803903	-0.01062130016723421	-0.29853576009216215	-0.04422535913118233	0.05418366329799742	1.0	0.08309470586510335	-0.10513204193507794	0.19333814738677474	-0.006658560425481666	-0.17086113255329874	-0.17780703474987267	0.0775349733855914	-0.07050321177252078	0.09528919045107347	-0.0949117804287863	-0.10200056758814466
Clinical: Total Blood Cholesterol	-0.008643274829796734	0.31576918057919584	-0.057395176977391035	0.4891941230713178	0.9276497922283364	0.06140249229565563	0.08309470586510335	1.0	0.05763456138123409	0.18319180313126213	-0.06885958743537342	-0.007085542747697104	-0.00844396499425405	-0.04873081877290272	0.02908476831354173	0.15415357806627378	-0.05929539862631734	-0.1647346031548889
Clinical: Waist Circumference	0.4867310055668176	-0.01719422998963113	-0.227728454724632	-0.05547205878703168	-0.010906888767525118	-0.11449076408805532	-0.10513204193507794	0.05763456138123409	1.0	-0.2927907907706243	-0.07415586123076821	0.10306096596352937	0.13226821597146307	0.030233077193806634	0.19365495728586635	0.21286530651368318	0.20944817710335445	0.18377640692930985
ELISA: ASPR	-0.028586954746883855	0.10812776471835854	0.11639537312326736	-0.021893133857385595	0.23637319727106643	-0.03685317803108868	0.19333814738677474	0.18319180313126213	-0.2927907907706243	1.0	0.12160217188975725	-0.21544204262609676	-0.23697414577335324	0.12561280598647312	-0.05360956795878121	-0.18275545360529552	-0.2813509548058999	0.05562120237813478
ELISA: FGF21	-0.00273783648731269	0.14289015365254895	0.13334966504724188	0.18812202746237164	-0.0218740717219	0.23177994186125125	-0.006658560425481666	-0.06885958743537342	-0.07415586123076821	0.12160217188975725	1.0	0.12240212662143005	0.14522121199045274	0.17104499633288425	0.06861846909190317	0.5382575756092016	0.11455697200840495	-0.13492810081529263
ELISA: HOMA	0.2560281133420774	0.012702359908594587	0.242202286522094	0.047811331484259985	-0.008916001916320526	0.1767419193919489	-0.17086113255329874	-0.007085542747697104	0.10306096596352937	-0.21544204262609676	0.12240212662143005	1.0	0.9923994012431517	-0.13912907262489185	0.600544267015523	0.09173023682142484	0.05311063361418531	0.3001314360075224
ELISA: Insulin	0.2603951404310459	0.0	0.1675590616919619	0.04534185699017925	-0.00919497107576084	0.17297133315016378	-0.17780703474987267	-0.00844396499425405	0.13226821597146307	-0.23697414577335324	0.14522121199045274	0.9923994012431517	1.0	-0.14957122983259666	0.598874296435272	0.09386640813067938	0.08799249530956849	0.2674800857622204
ELISA: Irisin	0.11237344045117217	-0.2908238907568658	0.16010627841274402	0.03893696202513116	-0.017991582466257754	-0.415012270941213	0.0775349733855914	-0.04873081877290272	0.030233077193806634	0.12561280598647312	0.17104499633288425	-0.13912907262489185	-0.14957122983259666	1.0	0.1577863163196143	-0.15233575676816355	0.1405063068124393	0.021681003307238503
