Clinical and ELISA data	Clinical: Body Mass Index	Clinical: Diastolic Blood Pressure	Clinical: Glucose	Clinical: High-Density Lipoproteins	Clinical: Low-Density Lipoproteins	Clinical: Systolic Blood Pressure	Clinical: Thyroglobulin	Clinical: Total Blood Cholesterol	Clinical: Waist Circumference	ELISA: ASPR	ELISA: FGF21	ELISA: HOMA	ELISA: Insulin	ELISA: Irisin	ELISA: Leptin	ELISA: Myostatin/GDF8	ELISA: Resistin	ELISA: VEGF
Clinical: Body Mass Index	1.0	0.1425322615598345	0.06799934836788483	0.07217693350736856	-0.09218133312141215	0.03382564926253151	0.10830179544459816	-0.03727047940604686	0.5607308276856141	-0.029807105661050538	-0.10009774837851189	0.30235376446389073	0.3170529670256973	0.09570352222934926	0.10945051844788699	-0.03310580326982858	0.013667647158827047	-0.16118052490294305
Clinical: Diastolic Blood Pressure	0.1425322615598345	1.0	0.025634543090631318	-0.18065274296743905	-0.24925379009012724	0.7513337203269225	0.02139750657662834	-0.24183411963910842	0.0012187803598160255	0.0062017412261750355	0.06317895022244979	0.05620011580844913	0.07743669068883904	0.06749771920906428	-0.1453898136655445	-0.1382649780762593	-0.27203651319136035	0.24322999094191938
Clinical: Glucose	0.06799934836788483	0.025634543090631318	1.0	-0.14461121000580013	0.09644706816223968	0.21451094568307383	0.056057735760962964	0.06772628047792542	0.18194832231727148	0.07529816935318641	0.1154539331384206	0.44179626918669657	0.1891979662559902	0.0005680599621704924	-0.17516325823280557	0.21193720537313893	0.13085831876629986	-0.009597690787412945
Clinical: High-Density Lipoproteins	0.07217693350736856	-0.18065274296743905	-0.14461121000580013	1.0	0.22768813277823752	-0.18465218741399372	0.0114662365947104	0.34190391686025284	-0.03343810288986789	0.015542124036336265	0.013727307015103881	-0.09515901822886244	-0.02921158868855665	-0.010982805800377573	0.188412941627798	-0.09793549708082645	-0.06997782308828528	-0.3040896644258351
Clinical: Low-Density Lipoproteins	-0.09218133312141215	-0.24925379009012724	0.09644706816223968	0.22768813277823752	1.0	-0.08009145322282372	-0.31474664541350383	0.900649599649356	0.04271279093822	-0.3115365382790871	0.02090420640631315	-0.044697475860491734	-0.058385207370474375	-0.031790699338442835	0.0035002256581804785	0.11992166418154246	0.27695084460345537	-0.04749102419377655
Clinical: Systolic Blood Pressure	0.03382564926253151	0.7513337203269225	0.21451094568307383	-0.18465218741399372	-0.08009145322282372	1.0	-0.014931623194038002	-0.1151601075896503	-0.12437186081849368	0.11004218151097794	0.252295254143271	0.05887955026817391	0.020886170074956693	0.13760899885455383	-0.08641285154251449	-0.12509980834273104	-0.2013235583809646	0.21284837235737158
Clinical: Thyroglobulin	0.10830179544459816	0.02139750657662834	0.056057735760962964	0.0114662365947104	-0.31474664541350383	-0.014931623194038002	1.0	0.02453722086280119	0.11013162347681635	0.1683250080472167	0.09144600145199121	0.09736030169565593	0.0988255682236605	0.1245409771240096	-0.21009904482160463	0.19178055052286494	-0.10376865067953545	-0.02132534693938571
Clinical: Total Blood Cholesterol	-0.03727047940604686	-0.24183411963910842	0.06772628047792542	0.34190391686025284	0.900649599649356	-0.1151601075896503	0.02453722086280119	1.0	0.13249990799176253	-0.2676003266415111	0.011064936063081829	-0.09554910075878954	-0.08756200991691707	-0.04797438037774803	-0.08922161125856444	0.15285420164268418	0.23414810233242345	-0.11805668310268437
Clinical: Waist Circumference	0.5607308276856141	0.0012187803598160255	0.18194832231727148	-0.03343810288986789	0.04271279093822	-0.12437186081849368	0.11013162347681635	0.13249990799176253	1.0	-0.15184151657498116	-0.01103538110410112	0.17108325546895709	0.1412745922887029	-0.1999063511339327	-0.1376512377801442	-0.06577769541372201	0.2043934278277951	-0.1649107624371771
ELISA: ASPR	-0.029807105661050538	0.0062017412261750355	0.07529816935318641	0.015542124036336265	-0.3115365382790871	0.11004218151097794	0.1683250080472167	-0.2676003266415111	-0.15184151657498116	1.0	0.03824396352038707	0.14526580320028165	0.11542346233907765	0.2703859046763581	-0.02938341331708841	-0.02604885921700579	-0.21324872862645736	-0.02986334711579852
ELISA: FGF21	-0.10009774837851189	0.06317895022244979	0.1154539331384206	0.013727307015103881	0.02090420640631315	0.252295254143271	0.09144600145199121	0.011064936063081829	-0.01103538110410112	0.03824396352038707	1.0	-0.00046106395715311203	-0.03741762398474493	0.09545851742558087	0.0823648725085145	0.376374219280091	-0.013292092298482284	-0.052480659682784196
ELISA: HOMA	0.30235376446389073	0.05620011580844913	0.44179626918669657	-0.09515901822886244	-0.044697475860491734	0.05887955026817391	0.09736030169565593	-0.09554910075878954	0.17108325546895709	0.14526580320028165	-0.00046106395715311203	1.0	0.9541420217710134	0.028558954059692474	0.27222543218991474	0.08520879798537569	0.009128301437249627	-0.1245940683045182
ELISA: Insulin	0.3170529670256973	0.07743669068883904	0.1891979662559902	-0.02921158868855665	-0.058385207370474375	0.020886170074956693	0.0988255682236605	-0.08756200991691707	0.1412745922887029	0.11542346233907765	-0.03741762398474493	0.9541420217710134	1.0	0.013528691080821305	0.37077922077922076	0.011640619349054818	-0.03816738816738817	-0.16429756879482418
ELISA: Irisin	0.09570352222934926	0.06749771920906428	0.0005680599621704924	-0.010982805800377573	-0.031790699338442835	0.13760899885455383	0.1245409771240096	-0.04797438037774803	-0.1999063511339327	0.2703859046763581	0.09545851742558087	0.028558954059692474	0.013528691080821305	1.0	0.07853869898446261	-0.11906022949957698	-0.2576131290160973	0.0964117893757465
ELISA: Leptin	0.10945051844788699	-0.1453898136655445	-0.17516325823280557	0.188412941627798	0.0035002256581804785	-0.08641285154251449	-0.21009904482160463	-0.08922161125856444	-0.1376512377801442	-0.02938341331708841	0.0823648725085145	0.27222543218991474	0.37077922077922076	0.07853869898446261	1.0	-0.01943158505511513	0.08643578643578644	-0.10368713498382186
ELISA: Myostatin/GDF8	-0.03310580326982858	-0.1382649780762593	0.21193720537313893	-0.09793549708082645	0.11992166418154246	-0.12509980834273104	0.19178055052286494	0.15285420164268418	-0.06577769541372201	-0.02604885921700579	0.376374219280091	0.08520879798537569	0.011640619349054818	-0.11906022949957698	-0.01943158505511513	1.0	0.25224397203621146	0.0791069242977413
ELISA: Resistin	0.013667647158827047	-0.27203651319136035	0.13085831876629986	-0.06997782308828528	0.27695084460345537	-0.2013235583809646	-0.10376865067953545	0.23414810233242345	0.2043934278277951	-0.21324872862645736	-0.013292092298482284	0.009128301437249627	-0.03816738816738817	-0.2576131290160973	0.08643578643578644	0.25224397203621146	1.0	-0.11487120312751871
ELISA: VEGF	-0.16118052490294305	0.24322999094191938	-0.009597690787412945	-0.3040896644258351	-0.04749102419377655	0.21284837235737158	-0.02132534693938571	-0.11805668310268437	-0.1649107624371771	-0.02986334711579852	-0.052480659682784196	-0.1245940683045182	-0.16429756879482418	0.0964117893757465	-0.10368713498382186	0.0791069242977413	-0.11487120312751871	1.0
