Clinical and ELISA data	Clinical: Body Mass Index	Clinical: Diastolic Blood Pressure	Clinical: Glucose	Clinical: High-Density Lipoproteins	Clinical: Low-Density Lipoproteins	Clinical: Systolic Blood Pressure	Clinical: Thyroglobulin	Clinical: Total Blood Cholesterol	Clinical: Waist Circumference	ELISA: ASPR	ELISA: FGF21	ELISA: HOMA	ELISA: Insulin	ELISA: Irisin	ELISA: Leptin	ELISA: Myostatin/GDF8	ELISA: Resistin	ELISA: VEGF
Clinical: Body Mass Index	1.0	0.02064603413398984	-0.03114197562192303	0.06731076897481754	-0.08494321117022112	-0.03589905849754052	-0.012133864388975197	-0.03576966151893148	0.526085370775468	-0.021644543924152812	-0.0723685777341169	0.22824468531688644	0.27475952891265754	0.10056019333030555	0.2812537424867621	-0.05829001083969253	0.037547977505001835	-0.07924380353791904
Clinical: Diastolic Blood Pressure	0.02064603413398984	1.0	0.5588863958098454	-0.13388185867273392	-0.1174093614630863	0.8674732098404038	0.4919684038279296	0.09541428512316187	-0.1049301450647338	0.005676758061868365	0.21865490029828025	0.28499683295625217	0.14814105580058662	-0.026530859462899944	-0.06872801524145765	-0.01052406698593229	-0.1313817640955423	0.1653524932437191
Clinical: Glucose	-0.03114197562192303	0.5588863958098454	1.0	-0.21053120017426163	-0.02651927516703452	0.6478966438696304	0.52320110998717	0.13491652395941167	-0.10666106968923186	0.006812429977906595	0.22007886273589972	0.4992474678368304	0.24265120363987988	0.07039371770200942	-0.12100361614615483	-0.0027738088815923707	0.029223699740278615	0.06471803152324672
Clinical: High-Density Lipoproteins	0.06731076897481754	-0.13388185867273392	-0.21053120017426163	1.0	0.2929521346054492	-0.18566399015893284	-0.22735969386063706	0.3253303329047494	-0.03001642734572769	0.027081108789053336	0.02448209039114177	-0.11519276075255468	-0.022175593458491773	-0.007910423360581727	0.19294098386901473	0.02977930043243137	-0.019995192078285973	-0.22205262514408913
Clinical: Low-Density Lipoproteins	-0.08494321117022112	-0.1174093614630863	-0.02651927516703452	0.2929521346054492	1.0	-0.1039434378219661	-0.19881957986260634	0.8676525716560429	0.04746394850850068	-0.13005267073126633	-0.012475455052634313	-0.07690934509167595	-0.061159490139010744	-0.03653212704048039	0.011193089702675768	0.1307467536895207	0.16732934099609853	-0.0943865852632794
Clinical: Systolic Blood Pressure	-0.03589905849754052	0.8674732098404038	0.6478966438696304	-0.18566399015893284	-0.1039434378219661	1.0	0.5385854401810839	0.10187022358375017	-0.19952845879018868	0.009144603294851792	0.3062910899940687	0.3671547672671119	0.20155020520172967	0.007113123494291234	-0.08458722283148869	-0.03513830613673789	-0.07103916930797859	0.15071162923034792
Clinical: Thyroglobulin	-0.012133864388975197	0.4919684038279296	0.52320110998717	-0.22735969386063706	-0.19881957986260634	0.5385854401810839	1.0	0.1804495763447278	-0.08399364686969317	0.10310934869965342	0.1326388716483529	0.2371991440915009	0.0955447691003922	0.07632566443439771	-0.19990270138470947	0.02393816540434767	-0.07526539360886635	0.016145519726861318
Clinical: Total Blood Cholesterol	-0.03576966151893148	0.09541428512316187	0.13491652395941167	0.3253303329047494	0.8676525716560429	0.10187022358375017	0.1804495763447278	1.0	0.06843190316695062	-0.09493322268606717	0.008451203730899307	0.008119894444555178	-0.006691327533426187	-0.06037869439341266	-0.04346563178093789	0.11620758509826096	0.13245468853823972	-0.13263513217803863
Clinical: Waist Circumference	0.526085370775468	-0.1049301450647338	-0.10666106968923186	-0.03001642734572769	0.04746394850850068	-0.19952845879018868	-0.08399364686969317	0.06843190316695062	1.0	-0.19794983812981298	-0.07038076823194125	0.05307814327552908	0.10435051398059748	-0.11792619578153929	0.017999937347695533	0.06918103928157299	0.19319932753193203	-0.04273820159002986
ELISA: ASPR	-0.021644543924152812	0.005676758061868365	0.006812429977906595	0.027081108789053336	-0.13005267073126633	0.009144603294851792	0.10310934869965342	-0.09493322268606717	-0.19794983812981298	1.0	0.0644266087221064	-0.020467011121474386	-0.04407311123517483	0.22050057310032428	-0.03552353347151291	-0.09259259359720827	-0.2196007135238548	-0.0007157628912025738
