Clinical, ELISA and diversity data	Alpha: Berger-Parker Dominance	Alpha: Chao1 Richness	Alpha: Distinct OTUs	Alpha: Gini–Simpson Index	Alpha: Inverse Simpson Index	Alpha: Shannon Entropy	Alpha: Simpson Index	Beta: Bray-Curtis Distance	Beta: Euclidean Distance	Clinical: Body Mass Index	Clinical: Diastolic Blood Pressure	Clinical: Glucose	Clinical: High-Density Lipoproteins	Clinical: Low-Density Lipoproteins	Clinical: Systolic Blood Pressure	Clinical: Thyroglobulin	Clinical: Total Blood Cholesterol	Clinical: Waist Circumference	ELISA: ASPR	ELISA: FGF21	ELISA: HOMA	ELISA: Insulin	ELISA: Irisin	ELISA: Leptin	ELISA: Resistin	ELISA: VEGF
Alpha: Berger-Parker Dominance	1.0	-0.7142857142857143	-0.7142857142857143	0.8571428571428571	0.8571428571428571	-0.7857142857142857	-0.8571428571428571	0.9642857142857143	0.8571428571428571	0.11118739749916517	-0.3585685828003181	0.7748062179181807	-0.3964124835860459	-0.42857142857142855	-0.41166465371081584	-0.21428571428571427	-0.6428571428571429	-0.12613124477737825	0.21428571428571427	-0.3349469226516178	-0.10714285714285714	-0.10714285714285714	0.20412414523193148	0.03571428571428571	-0.5	-0.42857142857142855
Alpha: Chao1 Richness	-0.7142857142857143	1.0	1.0	-0.8571428571428571	-0.8571428571428571	0.9285714285714286	0.8571428571428571	-0.5357142857142857	-0.8571428571428571	0.1853123291652753	0.11952286093343938	-0.5946187253790689	0.2522624895547565	0.42857142857142855	0.5613608914238398	0.7142857142857143	0.6428571428571429	0.19820624179302296	0.14285714285714285	0.4925690038994379	-0.25	-0.25	-0.20412414523193148	0.03571428571428571	0.2857142857142857	0.07142857142857142
Alpha: Distinct OTUs	-0.7142857142857143	1.0	1.0	-0.8571428571428571	-0.8571428571428571	0.9285714285714286	0.8571428571428571	-0.5357142857142857	-0.8571428571428571	0.1853123291652753	0.11952286093343938	-0.5946187253790689	0.2522624895547565	0.42857142857142855	0.5613608914238398	0.7142857142857143	0.6428571428571429	0.19820624179302296	0.14285714285714285	0.4925690038994379	-0.25	-0.25	-0.20412414523193148	0.03571428571428571	0.2857142857142857	0.07142857142857142
Alpha: Gini–Simpson Index	0.8571428571428571	-0.8571428571428571	-0.8571428571428571	1.0	1.0	-0.9642857142857143	-1.0	0.7142857142857143	0.8214285714285714	-0.14824986333222023	-0.05976143046671969	0.5765999761251577	-0.5585812268712466	-0.17857142857142858	-0.5052248022814558	-0.32142857142857145	-0.4642857142857143	0.14414999403128942	0.07142857142857142	-0.7290021257711681	-0.14285714285714285	-0.14285714285714285	0.0	-0.17857142857142858	-0.6785714285714286	-0.32142857142857145
Alpha: Inverse Simpson Index	0.8571428571428571	-0.8571428571428571	-0.8571428571428571	1.0	1.0	-0.9642857142857143	-1.0	0.7142857142857143	0.8214285714285714	-0.14824986333222023	-0.05976143046671969	0.5765999761251577	-0.5585812268712466	-0.17857142857142858	-0.5052248022814558	-0.32142857142857145	-0.4642857142857143	0.14414999403128942	0.07142857142857142	-0.7290021257711681	-0.14285714285714285	-0.14285714285714285	0.0	-0.17857142857142858	-0.6785714285714286	-0.32142857142857145
Alpha: Shannon Entropy	-0.7857142857142857	0.9285714285714286	0.9285714285714286	-0.9642857142857143	-0.9642857142857143	1.0	0.9642857142857143	-0.6071428571428571	-0.8571428571428571	0.22237479499833035	0.05976143046671969	-0.5225437283634242	0.5585812268712466	0.2857142857142857	0.5052248022814558	0.5	0.5714285714285714	0.018018749253911177	-0.03571428571428571	0.7290021257711681	0.0	0.0	0.0	0.10714285714285714	0.5357142857142857	0.10714285714285714
Alpha: Simpson Index	-0.8571428571428571	0.8571428571428571	0.8571428571428571	-1.0	-1.0	0.9642857142857143	1.0	-0.7142857142857143	-0.8214285714285714	0.14824986333222023	0.05976143046671969	-0.5765999761251577	0.5585812268712466	0.17857142857142858	0.5052248022814558	0.32142857142857145	0.4642857142857143	-0.14414999403128942	-0.07142857142857142	0.7290021257711681	0.14285714285714285	0.14285714285714285	0.0	0.17857142857142858	0.6785714285714286	0.32142857142857145
Beta: Bray-Curtis Distance	0.9642857142857143	-0.5357142857142857	-0.5357142857142857	0.7142857142857143	0.7142857142857143	-0.6071428571428571	-0.7142857142857143	1.0	0.75	0.2594372608313854	-0.3585685828003181	0.7207499701564472	-0.27028123880866767	-0.4642857142857143	-0.24325638628366392	-0.07142857142857142	-0.6071428571428571	-0.12613124477737825	0.32142857142857145	-0.15762208124782012	-0.21428571428571427	-0.21428571428571427	0.20412414523193148	0.0	-0.42857142857142855	-0.5357142857142857
Beta: Euclidean Distance	0.8571428571428571	-0.8571428571428571	-0.8571428571428571	0.8214285714285714	0.8214285714285714	-0.8571428571428571	-0.8214285714285714	0.75	1.0	-0.29649972666444047	-0.17928429140015906	0.6847124716486248	-0.30631873731649006	-0.42857142857142855	-0.5426488617097118	-0.39285714285714285	-0.6428571428571429	-0.41443123283995714	0.2857142857142857	-0.3743524429635728	0.03571428571428571	0.03571428571428571	0.40824829046386296	0.14285714285714285	-0.42857142857142855	0.0
Clinical: Body Mass Index	0.11118739749916517	0.1853123291652753	0.1853123291652753	-0.14824986333222023	-0.14824986333222023	0.22237479499833035	0.14824986333222023	0.2594372608313854	-0.29649972666444047	1.0	-0.31008683647302115	0.0	0.18698939800169143	-0.5188745216627708	0.5437149461664321	-0.14824986333222023	-0.3706246583305506	0.18698939800169143	-0.22237479499833035	0.3680373690492888	0.0	0.0	-0.42365927286816174	-0.2594372608313854	0.4447495899966607	-0.630061919161936
