Clinical, ELISA and diversity data	Alpha: Berger-Parker Dominance	Alpha: Chao1 Richness	Alpha: Distinct OTUs	Alpha: Gini–Simpson Index	Alpha: Inverse Simpson Index	Alpha: Shannon Entropy	Alpha: Simpson Index	Beta: Bray-Curtis Distance	Beta: Euclidean Distance	ELISA: ASPR	ELISA: FGF21	ELISA: Insulin	ELISA: Irisin	ELISA: Leptin	ELISA: Myostatin/GDF8	ELISA: Resistin	ELISA: VEGF
Alpha: Berger-Parker Dominance	1.0	-0.24461049226905793	-0.24461049226905793	0.8586466165413534	0.8586466165413534	-0.6505126452494874	-0.8586466165413534	0.34600136705399864	0.4215311004784689	0.019393159295100458	0.0547698012869073	0.13479152426520846	0.05220999544163983	-0.08263841421736158	0.028049266433866023	0.14531784005468215	0.05735183552944223
Alpha: Chao1 Richness	-0.24461049226905793	1.0	1.0	-0.3791907127849947	-0.3791907127849947	0.7462432197053661	0.3791907127849947	-0.5004018107852478	-0.27244288543470135	0.20405994216960036	-0.18662151606931662	-0.08230045497506604	-0.025087807039803237	-0.1587882479867913	-0.10217219677732965	-0.06499923760182823	0.04311922233231077
Alpha: Distinct OTUs	-0.24461049226905793	1.0	1.0	-0.3791907127849947	-0.3791907127849947	0.7462432197053661	0.3791907127849947	-0.5004018107852478	-0.27244288543470135	0.20405994216960036	-0.18662151606931662	-0.08230045497506604	-0.025087807039803237	-0.1587882479867913	-0.10217219677732965	-0.06499923760182823	0.04311922233231077
Alpha: Gini–Simpson Index	0.8586466165413534	-0.3791907127849947	-0.3791907127849947	1.0	1.0	-0.8587833219412166	-1.0	0.14661654135338345	0.2623376623376623	-0.06151795211598598	0.09049429631894812	0.10382775119617225	0.13193954513084352	-0.03561175666438824	0.1291980642361265	0.11319207108680793	0.030829174998544033
Alpha: Inverse Simpson Index	0.8586466165413534	-0.3791907127849947	-0.3791907127849947	1.0	1.0	-0.8587833219412166	-1.0	0.14661654135338345	0.2623376623376623	-0.06151795211598598	0.09049429631894812	0.10382775119617225	0.13193954513084352	-0.03561175666438824	0.1291980642361265	0.11319207108680793	0.030829174998544033
Alpha: Shannon Entropy	-0.6505126452494874	0.7462432197053661	0.7462432197053661	-0.8587833219412166	-0.8587833219412166	1.0	0.8587833219412166	-0.2700615174299385	-0.2745727956254272	0.1647855875887356	-0.17086471293826253	-0.11934381408065618	-0.11312165679021963	-0.06814764183185236	-0.15453288553123132	-0.0872863978127136	0.016405769400555582
Alpha: Simpson Index	-0.8586466165413534	0.3791907127849947	0.3791907127849947	-1.0	-1.0	0.8587833219412166	1.0	-0.14661654135338345	-0.2623376623376623	0.06151795211598598	-0.09049429631894812	-0.10382775119617225	-0.13193954513084352	0.03561175666438824	-0.1291980642361265	-0.11319207108680793	-0.030829174998544033
Beta: Bray-Curtis Distance	0.34600136705399864	-0.5004018107852478	-0.5004018107852478	0.14661654135338345	0.14661654135338345	-0.2700615174299385	-0.14661654135338345	1.0	0.7779220779220779	-0.0488767631750791	0.015554313254992796	-0.014012303485987697	-0.135497369122351	0.015105946684894053	-0.11938796426095435	-0.024470266575529732	0.11019208447373167
Beta: Euclidean Distance	0.4215311004784689	-0.27244288543470135	-0.27244288543470135	0.2623376623376623	0.2623376623376623	-0.2745727956254272	-0.2623376623376623	0.7779220779220779	1.0	0.12326096991044508	0.033629899232116595	-0.03144224196855776	-0.21149763342286612	0.04709501025290499	-0.19815449512956965	0.09439507860560492	0.041766354598914424
ELISA: ASPR	0.019393159295100458	0.20405994216960036	0.20405994216960036	-0.06151795211598598	-0.06151795211598598	0.1647855875887356	0.06151795211598598	-0.0488767631750791	0.12326096991044508	1.0	-0.031610784202083644	0.11658402144907587	-0.06033871878263429	0.18646691461497944	-0.005383637147250391	0.08139875371444485	-0.26465781763266455
