Clinical, ELISA and diversity data	Alpha: Berger-Parker Dominance	Alpha: Chao1 Richness	Alpha: Distinct OTUs	Alpha: Gini–Simpson Index	Alpha: Inverse Simpson Index	Alpha: Shannon Entropy	Alpha: Simpson Index	Beta: Bray-Curtis Distance	Beta: Euclidean Distance	Clinical: Body Mass Index	Clinical: Diastolic Blood Pressure	Clinical: Glucose	Clinical: High-Density Lipoproteins	Clinical: Low-Density Lipoproteins	Clinical: Systolic Blood Pressure	Clinical: Thyroglobulin	Clinical: Total Blood Cholesterol	Clinical: Waist Circumference	ELISA: ASPR	ELISA: FGF21	ELISA: HOMA	ELISA: Insulin	ELISA: Irisin	ELISA: Leptin	ELISA: Myostatin/GDF8	ELISA: Resistin	ELISA: VEGF
Alpha: Berger-Parker Dominance	1.0	-0.6428571428571429	-0.6428571428571429	0.9175824175824175	0.9175824175824175	-0.7582417582417582	-0.9175824175824175	0.6098901098901099	0.521978021978022	-0.05338426739267308	-0.208217050657028	0.08528206142151307	-0.30811583481320853	-0.33516483516483514	-0.3162423666478228	-0.15384615384615385	-0.4230769230769231	-0.2778544581797684	-0.13204964349137507	0.08477959578812856	-0.1043956043956044	-0.13736263736263737	-0.014862188364948003	0.21978021978021978	0.23145502494313788	-0.25824175824175827	-0.25274725274725274
Alpha: Chao1 Richness	-0.6428571428571429	1.0	1.0	-0.7527472527472527	-0.7527472527472527	0.945054945054945	0.7527472527472527	-0.7087912087912088	-0.7197802197802198	0.005619396567649798	0.1603834038844675	-0.0027510342394036474	0.15130688316720062	0.24725274725274726	0.4022380979292483	0.5164835164835165	0.5164835164835165	0.48968409461384926	0.30811583481320853	0.16390721852371523	-0.01098901098901099	0.02197802197802198	-0.08917313018968802	-0.27472527472527475	-0.3086066999241838	0.12637362637362637	-0.02197802197802198
Alpha: Distinct OTUs	-0.6428571428571429	1.0	1.0	-0.7527472527472527	-0.7527472527472527	0.945054945054945	0.7527472527472527	-0.7087912087912088	-0.7197802197802198	0.005619396567649798	0.1603834038844675	-0.0027510342394036474	0.15130688316720062	0.24725274725274726	0.4022380979292483	0.5164835164835165	0.5164835164835165	0.48968409461384926	0.30811583481320853	0.16390721852371523	-0.01098901098901099	0.02197802197802198	-0.08917313018968802	-0.27472527472527475	-0.3086066999241838	0.12637362637362637	-0.02197802197802198
Alpha: Gini–Simpson Index	0.9175824175824175	-0.7527472527472527	-0.7527472527472527	1.0	1.0	-0.8846153846153846	-1.0	0.5824175824175825	0.5989010989010989	-0.24444375069276622	0.008441231783393028	0.17331515708242978	-0.429161341346969	-0.27472527472527475	-0.22192446782303354	-0.15934065934065933	-0.42857142857142855	-0.28610756089797934	-0.14855584892779697	0.05651973052541904	0.016483516483516484	-0.054945054945054944	0.05944875345979201	0.23626373626373626	0.23145502494313788	-0.31868131868131866	-0.1978021978021978
Alpha: Inverse Simpson Index	0.9175824175824175	-0.7527472527472527	-0.7527472527472527	1.0	1.0	-0.8846153846153846	-1.0	0.5824175824175825	0.5989010989010989	-0.24444375069276622	0.008441231783393028	0.17331515708242978	-0.429161341346969	-0.27472527472527475	-0.22192446782303354	-0.15934065934065933	-0.42857142857142855	-0.28610756089797934	-0.14855584892779697	0.05651973052541904	0.016483516483516484	-0.054945054945054944	0.05944875345979201	0.23626373626373626	0.23145502494313788	-0.31868131868131866	-0.1978021978021978
Alpha: Shannon Entropy	-0.7582417582417582	0.945054945054945	0.945054945054945	-0.8846153846153846	-0.8846153846153846	1.0	0.8846153846153846	-0.6813186813186813	-0.7252747252747253	0.14329461247506986	0.13224596460649077	0.013755171197018237	0.2778544581797684	0.19230769230769232	0.4022380979292483	0.4175824175824176	0.46703296703296704	0.382393759277107	0.22283377339169544	0.20347102989150856	0.04395604395604396	0.10989010989010989	-0.026008829638659005	-0.3021978021978022	-0.23145502494313788	0.3131868131868132	0.038461538461538464
Alpha: Simpson Index	-0.9175824175824175	0.7527472527472527	0.7527472527472527	-1.0	-1.0	0.8846153846153846	1.0	-0.5824175824175825	-0.5989010989010989	0.24444375069276622	-0.008441231783393028	-0.17331515708242978	0.429161341346969	0.27472527472527475	0.22192446782303354	0.15934065934065933	0.42857142857142855	0.28610756089797934	0.14855584892779697	-0.05651973052541904	-0.016483516483516484	0.054945054945054944	-0.05944875345979201	-0.23626373626373626	-0.23145502494313788	0.31868131868131866	0.1978021978021978
Beta: Bray-Curtis Distance	0.6098901098901099	-0.7087912087912088	-0.7087912087912088	0.5824175824175825	0.5824175824175825	-0.6813186813186813	-0.5824175824175825	1.0	0.8351648351648352	0.06181336224414778	-0.15475591602887218	-0.01100413695761459	-0.013755171197018237	-0.3626373626373626	-0.22747257951860939	-0.27472527472527475	-0.5604395604395604	-0.6685013201750863	-0.31361790329201583	0.1299953802084638	-0.41208791208791207	-0.4835164835164835	-0.063164300551029	0.3626373626373626	0.3086066999241838	-0.06043956043956044	-0.2087912087912088
Beta: Euclidean Distance	0.521978021978022	-0.7197802197802198	-0.7197802197802198	0.5989010989010989	0.5989010989010989	-0.7252747252747253	-0.5989010989010989	0.8351648351648352	1.0	-0.26130194039571564	-0.05346113462815584	0.06602482174568754	0.052269650548669305	-0.532967032967033	-0.1581211833239114	-0.19230769230769232	-0.7362637362637363	-0.6189827038658207	-0.09078412990032037	0.062171703577960945	-0.2802197802197802	-0.4010989010989011	-0.10403531855463602	0.23076923076923078	0.23145502494313788	-0.25274725274725274	-0.12087912087912088
Clinical: Body Mass Index	-0.05338426739267308	0.005619396567649798	0.005619396567649798	-0.24444375069276622	-0.24444375069276622	0.14329461247506986	0.24444375069276622	0.06181336224414778	-0.26130194039571564	1.0	-0.4014392644681665	-0.27572944153562245	0.27572944153562245	0.23601465584129153	-0.14327408648847445	-0.47202931168258305	0.22477586270599192	0.26869552721073414	-0.3601364134342824	-0.3208146081941935	-0.13486551762359517	-0.042145474257373486	-0.02470001383201162	0.005619396567649798	-0.31562138431599956	0.10957823306917107	-0.39335775973548587
Clinical: Diastolic Blood Pressure	-0.208217050657028	0.1603834038844675	0.1603834038844675	0.008441231783393028	0.008441231783393028	0.13224596460649077	-0.008441231783393028	-0.15475591602887218	-0.05346113462815584	-0.4014392644681665	1.0	0.6677752153980784	-0.6395990459719991	-0.2673056731407792	0.8608823086560867	0.5655625294873329	-0.15756965995666986	-0.07325804050780606	0.45504513623118	0.4341574925869784	0.3573454788303048	0.17163837959565822	0.2454530534032779	-0.4417577966642351	0.2765663626146085	0.2673056731407792	0.1969620749458373
Clinical: Glucose	0.08528206142151307	-0.0027510342394036474	-0.0027510342394036474	0.17331515708242978	0.17331515708242978	0.013755171197018237	-0.17331515708242978	-0.01100413695761459	0.06602482174568754	-0.27572944153562245	0.6677752153980784	1.0	-0.6074380165289256	-0.4979371973320602	0.6708566273706454	0.6024764984293988	-0.429161341346969	-0.17768595041322313	0.34710743801652894	0.45843997559581745	0.6079785669082061	0.44291651254398723	0.37206614048639003	-0.4099041016711435	0.3862893570903625	0.26960135546155745	0.24759308154632828
