sample-id,absolute-filepath,direction
002b,/data03/bio/rogachev_human/blood/002b_S112_R1_001.fastq.gz,forward
002b,/data03/bio/rogachev_human/blood/002b_S112_R2_001.fastq.gz,reverse
004b,/data03/bio/rogachev_human/blood/004b_S113_R1_001.fastq.gz,forward
004b,/data03/bio/rogachev_human/blood/004b_S113_R2_001.fastq.gz,reverse
005b,/data03/bio/rogachev_human/blood/005b_S114_R1_001.fastq.gz,forward
005b,/data03/bio/rogachev_human/blood/005b_S114_R2_001.fastq.gz,reverse
006b,/data03/bio/rogachev_human/blood/006b_S115_R1_001.fastq.gz,forward
006b,/data03/bio/rogachev_human/blood/006b_S115_R2_001.fastq.gz,reverse
007b,/data03/bio/rogachev_human/blood/007b_S116_R1_001.fastq.gz,forward
007b,/data03/bio/rogachev_human/blood/007b_S116_R2_001.fastq.gz,reverse
010b,/data03/bio/rogachev_human/blood/010b_S117_R1_001.fastq.gz,forward
010b,/data03/bio/rogachev_human/blood/010b_S117_R2_001.fastq.gz,reverse
011b,/data03/bio/rogachev_human/blood/011b_S118_R1_001.fastq.gz,forward
011b,/data03/bio/rogachev_human/blood/011b_S118_R2_001.fastq.gz,reverse
012b,/data03/bio/rogachev_human/blood/012b_S119_R1_001.fastq.gz,forward
012b,/data03/bio/rogachev_human/blood/012b_S119_R2_001.fastq.gz,reverse
013b,/data03/bio/rogachev_human/blood/013b_S120_R1_001.fastq.gz,forward
013b,/data03/bio/rogachev_human/blood/013b_S120_R2_001.fastq.gz,reverse
015b,/data03/bio/rogachev_human/blood/015b_S121_R1_001.fastq.gz,forward
015b,/data03/bio/rogachev_human/blood/015b_S121_R2_001.fastq.gz,reverse
017b,/data03/bio/rogachev_human/blood/017b_S122_R1_001.fastq.gz,forward
017b,/data03/bio/rogachev_human/blood/017b_S122_R2_001.fastq.gz,reverse
019b,/data03/bio/rogachev_human/blood/019b_S123_R1_001.fastq.gz,forward
019b,/data03/bio/rogachev_human/blood/019b_S123_R2_001.fastq.gz,reverse
020b,/data03/bio/rogachev_human/blood/020b_S124_R1_001.fastq.gz,forward
020b,/data03/bio/rogachev_human/blood/020b_S124_R2_001.fastq.gz,reverse
022b,/data03/bio/rogachev_human/blood/022b_S1_R1_001.fastq.gz,forward
022b,/data03/bio/rogachev_human/blood/022b_S1_R2_001.fastq.gz,reverse
023b,/data03/bio/rogachev_human/blood/023b_S2_R1_001.fastq.gz,forward
023b,/data03/bio/rogachev_human/blood/023b_S2_R2_001.fastq.gz,reverse
025b,/data03/bio/rogachev_human/blood/025b_S3_R1_001.fastq.gz,forward
025b,/data03/bio/rogachev_human/blood/025b_S3_R2_001.fastq.gz,reverse
026b,/data03/bio/rogachev_human/blood/026b_S4_R1_001.fastq.gz,forward
026b,/data03/bio/rogachev_human/blood/026b_S4_R2_001.fastq.gz,reverse
027b,/data03/bio/rogachev_human/blood/027b_S5_R1_001.fastq.gz,forward
027b,/data03/bio/rogachev_human/blood/027b_S5_R2_001.fastq.gz,reverse
031b,/data03/bio/rogachev_human/blood/031b_S6_R1_001.fastq.gz,forward
031b,/data03/bio/rogachev_human/blood/031b_S6_R2_001.fastq.gz,reverse
036b,/data03/bio/rogachev_human/blood/036b_S7_R1_001.fastq.gz,forward
036b,/data03/bio/rogachev_human/blood/036b_S7_R2_001.fastq.gz,reverse
037b,/data03/bio/rogachev_human/blood/037b_S8_R1_001.fastq.gz,forward
037b,/data03/bio/rogachev_human/blood/037b_S8_R2_001.fastq.gz,reverse
038b,/data03/bio/rogachev_human/blood/038b_S9_R1_001.fastq.gz,forward
038b,/data03/bio/rogachev_human/blood/038b_S9_R2_001.fastq.gz,reverse
039b,/data03/bio/rogachev_human/blood/039b_S10_R1_001.fastq.gz,forward
039b,/data03/bio/rogachev_human/blood/039b_S10_R2_001.fastq.gz,reverse
042b,/data03/bio/rogachev_human/blood/042b_S11_R1_001.fastq.gz,forward
042b,/data03/bio/rogachev_human/blood/042b_S11_R2_001.fastq.gz,reverse
043b,/data03/bio/rogachev_human/blood/043b_S12_R1_001.fastq.gz,forward
043b,/data03/bio/rogachev_human/blood/043b_S12_R2_001.fastq.gz,reverse
045b,/data03/bio/rogachev_human/blood/045b_S13_R1_001.fastq.gz,forward
045b,/data03/bio/rogachev_human/blood/045b_S13_R2_001.fastq.gz,reverse
047b,/data03/bio/rogachev_human/blood/047b_S14_R1_001.fastq.gz,forward
047b,/data03/bio/rogachev_human/blood/047b_S14_R2_001.fastq.gz,reverse
048b,/data03/bio/rogachev_human/blood/048b_S15_R1_001.fastq.gz,forward
048b,/data03/bio/rogachev_human/blood/048b_S15_R2_001.fastq.gz,reverse
049b,/data03/bio/rogachev_human/blood/049b_S16_R1_001.fastq.gz,forward
049b,/data03/bio/rogachev_human/blood/049b_S16_R2_001.fastq.gz,reverse
050b,/data03/bio/rogachev_human/blood/050b_S17_R1_001.fastq.gz,forward
050b,/data03/bio/rogachev_human/blood/050b_S17_R2_001.fastq.gz,reverse
051b,/data03/bio/rogachev_human/blood/051b_S18_R1_001.fastq.gz,forward
051b,/data03/bio/rogachev_human/blood/051b_S18_R2_001.fastq.gz,reverse
052b,/data03/bio/rogachev_human/blood/052b_S19_R1_001.fastq.gz,forward
052b,/data03/bio/rogachev_human/blood/052b_S19_R2_001.fastq.gz,reverse
053b,/data03/bio/rogachev_human/blood/053b_S20_R1_001.fastq.gz,forward
053b,/data03/bio/rogachev_human/blood/053b_S20_R2_001.fastq.gz,reverse
1002b,/data03/bio/rogachev_human/blood/1002b_S21_R1_001.fastq.gz,forward
1002b,/data03/bio/rogachev_human/blood/1002b_S21_R2_001.fastq.gz,reverse
1003b,/data03/bio/rogachev_human/blood/1003b_S22_R1_001.fastq.gz,forward
1003b,/data03/bio/rogachev_human/blood/1003b_S22_R2_001.fastq.gz,reverse
1004b,/data03/bio/rogachev_human/blood/1004b_S23_R1_001.fastq.gz,forward
1004b,/data03/bio/rogachev_human/blood/1004b_S23_R2_001.fastq.gz,reverse
1005b,/data03/bio/rogachev_human/blood/1005b_S24_R1_001.fastq.gz,forward
1005b,/data03/bio/rogachev_human/blood/1005b_S24_R2_001.fastq.gz,reverse
1006b,/data03/bio/rogachev_human/blood/1006b_S25_R1_001.fastq.gz,forward
1006b,/data03/bio/rogachev_human/blood/1006b_S25_R2_001.fastq.gz,reverse
1007b,/data03/bio/rogachev_human/blood/1007b_S26_R1_001.fastq.gz,forward
1007b,/data03/bio/rogachev_human/blood/1007b_S26_R2_001.fastq.gz,reverse
1008b,/data03/bio/rogachev_human/blood/1008b_S27_R1_001.fastq.gz,forward
1008b,/data03/bio/rogachev_human/blood/1008b_S27_R2_001.fastq.gz,reverse
1009b,/data03/bio/rogachev_human/blood/1009b_S28_R1_001.fastq.gz,forward
1009b,/data03/bio/rogachev_human/blood/1009b_S28_R2_001.fastq.gz,reverse
1010b,/data03/bio/rogachev_human/blood/1010b_S29_R1_001.fastq.gz,forward
1010b,/data03/bio/rogachev_human/blood/1010b_S29_R2_001.fastq.gz,reverse
1011b,/data03/bio/rogachev_human/blood/1011b_S30_R1_001.fastq.gz,forward
1011b,/data03/bio/rogachev_human/blood/1011b_S30_R2_001.fastq.gz,reverse
1012b,/data03/bio/rogachev_human/blood/1012b_S31_R1_001.fastq.gz,forward
1012b,/data03/bio/rogachev_human/blood/1012b_S31_R2_001.fastq.gz,reverse
1013b,/data03/bio/rogachev_human/blood/1013b_S32_R1_001.fastq.gz,forward
1013b,/data03/bio/rogachev_human/blood/1013b_S32_R2_001.fastq.gz,reverse
1014b,/data03/bio/rogachev_human/blood/1014b_S33_R1_001.fastq.gz,forward
1014b,/data03/bio/rogachev_human/blood/1014b_S33_R2_001.fastq.gz,reverse
1015b,/data03/bio/rogachev_human/blood/1015b_S34_R1_001.fastq.gz,forward
1015b,/data03/bio/rogachev_human/blood/1015b_S34_R2_001.fastq.gz,reverse
1016b,/data03/bio/rogachev_human/blood/1016b_S35_R1_001.fastq.gz,forward
1016b,/data03/bio/rogachev_human/blood/1016b_S35_R2_001.fastq.gz,reverse
1017b,/data03/bio/rogachev_human/blood/1017b_S36_R1_001.fastq.gz,forward
1017b,/data03/bio/rogachev_human/blood/1017b_S36_R2_001.fastq.gz,reverse
1019b,/data03/bio/rogachev_human/blood/1019b_S37_R1_001.fastq.gz,forward
1019b,/data03/bio/rogachev_human/blood/1019b_S37_R2_001.fastq.gz,reverse
101B,/data03/bio/rogachev_human/blood/101B_S109_R1_001.fastq.gz,forward
101B,/data03/bio/rogachev_human/blood/101B_S109_R2_001.fastq.gz,reverse
1021b,/data03/bio/rogachev_human/blood/1021b_S38_R1_001.fastq.gz,forward
1021b,/data03/bio/rogachev_human/blood/1021b_S38_R2_001.fastq.gz,reverse
1022b,/data03/bio/rogachev_human/blood/1022b_S39_R1_001.fastq.gz,forward
1022b,/data03/bio/rogachev_human/blood/1022b_S39_R2_001.fastq.gz,reverse
1023b,/data03/bio/rogachev_human/blood/1023b_S40_R1_001.fastq.gz,forward
1023b,/data03/bio/rogachev_human/blood/1023b_S40_R2_001.fastq.gz,reverse
1024b,/data03/bio/rogachev_human/blood/1024b_S41_R1_001.fastq.gz,forward
1024b,/data03/bio/rogachev_human/blood/1024b_S41_R2_001.fastq.gz,reverse
1025b,/data03/bio/rogachev_human/blood/1025b_S42_R1_001.fastq.gz,forward
1025b,/data03/bio/rogachev_human/blood/1025b_S42_R2_001.fastq.gz,reverse
1026b,/data03/bio/rogachev_human/blood/1026b_S43_R1_001.fastq.gz,forward
1026b,/data03/bio/rogachev_human/blood/1026b_S43_R2_001.fastq.gz,reverse
1027b,/data03/bio/rogachev_human/blood/1027b_S44_R1_001.fastq.gz,forward
1027b,/data03/bio/rogachev_human/blood/1027b_S44_R2_001.fastq.gz,reverse
1029b,/data03/bio/rogachev_human/blood/1029b_S45_R1_001.fastq.gz,forward
1029b,/data03/bio/rogachev_human/blood/1029b_S45_R2_001.fastq.gz,reverse
102B,/data03/bio/rogachev_human/blood/102B_S23_R1_001.fastq.gz,forward
102B,/data03/bio/rogachev_human/blood/102B_S23_R2_001.fastq.gz,reverse
103b,/data03/bio/rogachev_human/blood/103b_S113_R1_001.fastq.gz,forward
103b,/data03/bio/rogachev_human/blood/103b_S113_R2_001.fastq.gz,reverse
104b,/data03/bio/rogachev_human/blood/104b_S31_R1_001.fastq.gz,forward
104b,/data03/bio/rogachev_human/blood/104b_S31_R2_001.fastq.gz,reverse
105b,/data03/bio/rogachev_human/blood/105b_S32_R1_001.fastq.gz,forward
105b,/data03/bio/rogachev_human/blood/105b_S32_R2_001.fastq.gz,reverse
106B,/data03/bio/rogachev_human/blood/106B_S110_R1_001.fastq.gz,forward
106B,/data03/bio/rogachev_human/blood/106B_S110_R2_001.fastq.gz,reverse
108b,/data03/bio/rogachev_human/blood/108b_S33_R1_001.fastq.gz,forward
108b,/data03/bio/rogachev_human/blood/108b_S33_R2_001.fastq.gz,reverse
109B,/data03/bio/rogachev_human/blood/109B_S24_R1_001.fastq.gz,forward
109B,/data03/bio/rogachev_human/blood/109B_S24_R2_001.fastq.gz,reverse
10B,/data03/bio/rogachev_human/blood/10B_S96_R1_001.fastq.gz,forward
10B,/data03/bio/rogachev_human/blood/10B_S96_R2_001.fastq.gz,reverse
110B,/data03/bio/rogachev_human/blood/110B_S25_R1_001.fastq.gz,forward
110B,/data03/bio/rogachev_human/blood/110B_S25_R2_001.fastq.gz,reverse
111B,/data03/bio/rogachev_human/blood/111B_S26_R1_001.fastq.gz,forward
111B,/data03/bio/rogachev_human/blood/111B_S26_R2_001.fastq.gz,reverse
111b,/data03/bio/rogachev_human/blood/111b_S34_R1_001.fastq.gz,forward
111b,/data03/bio/rogachev_human/blood/111b_S34_R2_001.fastq.gz,reverse
112b,/data03/bio/rogachev_human/blood/112b_S35_R1_001.fastq.gz,forward
112b,/data03/bio/rogachev_human/blood/112b_S35_R2_001.fastq.gz,reverse
113b,/data03/bio/rogachev_human/blood/113b_S36_R1_001.fastq.gz,forward
113b,/data03/bio/rogachev_human/blood/113b_S36_R2_001.fastq.gz,reverse
115B,/data03/bio/rogachev_human/blood/115B_S27_R1_001.fastq.gz,forward
115B,/data03/bio/rogachev_human/blood/115B_S27_R2_001.fastq.gz,reverse
116B,/data03/bio/rogachev_human/blood/116B_S28_R1_001.fastq.gz,forward
116B,/data03/bio/rogachev_human/blood/116B_S28_R2_001.fastq.gz,reverse
117B,/data03/bio/rogachev_human/blood/117B_S29_R1_001.fastq.gz,forward
117B,/data03/bio/rogachev_human/blood/117B_S29_R2_001.fastq.gz,reverse
118B,/data03/bio/rogachev_human/blood/118B_S30_R1_001.fastq.gz,forward
118B,/data03/bio/rogachev_human/blood/118B_S30_R2_001.fastq.gz,reverse
119B,/data03/bio/rogachev_human/blood/119B_S31_R1_001.fastq.gz,forward
119B,/data03/bio/rogachev_human/blood/119B_S31_R2_001.fastq.gz,reverse
120B,/data03/bio/rogachev_human/blood/120B_S32_R1_001.fastq.gz,forward
120B,/data03/bio/rogachev_human/blood/120B_S32_R2_001.fastq.gz,reverse
121B,/data03/bio/rogachev_human/blood/121B_S33_R1_001.fastq.gz,forward
