reference_id	point	determinant_of_aminoglycoside_resistance	determinant_of_beta_lactam_resistance	determinant_of_macrolide_resistance	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	determinant_of_rifamycin_resistance	determinant_of_tetracycline_resistance	determinant_of_fluoroquinolone_resistance	determinant_of_fosfomycin_resistance	peptide_anibiotic	determinant_of_sulfonamide_resistance	determinant_of_phenicol_resistance	determinant_of_streptogramin_resistance	determinant_of_lincosamide_resistance	determinant_of_resistance_to_nucleoside_antibiotics	determinant_of_resistance_to_glycopeptide_antibiotics
1_1	I	14.0792304516	15.4187559963	17.4893290277	17.2951929961	14.1012554951	19.3188763379	15.9546474595	10.8649080069	13.4831700367	8.0621871794	15.4788756444	17.2366977179	17.3730693171	13.2467522772	8.0621871794
2_1	I	13.832414966	14.1075776271	17.0569575356	16.4449069652	13.7351246648	19.5792459559	15.4820463415	10.8120571245	13.3677842811	9.5330951153	14.1584987278	16.8349396158	16.8414469914	13.0815100548	8.3132967252
3_1	I	15.9128634991	15.2812991487	17.1673765398	19.0196907079	16.1710686504	18.9198947158	18.1273165935	13.123134331	15.9328315939	0	16.5284882171	14.283280923	14.444965401	15.5276830838	10.5562465654
4_1	I	13.8012420757	15.6901369864	15.7362779091	16.9342471615	12.1340373559	19.546723855	14.2112364987	8.8567237588	12.3684544631	7.057127853	16.4556604964	15.4428906791	15.5381369249	11.6614088114	0
5_1	I	12.9570454119	16.0903299529	14.4980011767	14.794064276	11.0053944756	19.7155006025	12.6908021229	8.0714661954	9.942029548	0	14.6561120991	14.1677094578	14.2023062617	10.5695430378	6.4971903452
6_1	I	13.9284443923	14.5043876508	15.7344525534	15.1824362775	7.6048651679	19.763599682	10.6857739485	6.6122572863	6.6122572863	0	10.1836385046	15.6445870543	15.8358643844	10.5053184798	8.1873551883
7_1	I	12.9491376428	16.5388567334	17.1352382191	15.6060964132	9.3438468198	19.4388360614	8.346065335	0	9.4311790538	6.9383983439	14.8031547999	17.1201228766	17.1184792593	6.9383983439	11.9858368167
8_1	I	17.6021681721	16.8544664648	17.5767032259	14.7776000423	7.409284235	18.7004414346	9.7244066475	6.1000309034	7.0894763487	5.1209111528	8.4050344472	17.5395634335	17.5155632506	15.8287382249	0
9_1	I	13.9841549711	14.0536156057	15.3902139552	17.1109541952	13.1491091518	19.7189290907	14.7028563919	10.1844064056	12.8415740882	0	13.3330529732	14.7568653387	15.5473308236	12.5409601517	0
10_1	I	15.4266071306	15.6259643555	16.7445934612	16.3339175708	12.3531930936	19.4523548256	14.1662272942	9.4480936671	11.9244452385	0	15.1022372033	16.342592748	16.4452376043	13.8086973597	8.2284525556
11_1	I	10.4130522451	10.904599631	14.3864756936	15.8032625602	11.904223283	19.7905611413	10.4130522451	0	11.904223283	0	11.0565274627	14.2258502287	14.6239391748	5.4454865183	9.8729647456
12_1	I	12.0779450307	15.6699809996	16.7054111973	15.126746171	10.2263732731	19.6307845072	8.0606571253	0	10.0565987994	9.5166460502	13.2353021879	16.7036145825	16.741757175	8.3815041157	0
13_1	I	14.1739727208	13.9790723263	16.9778595187	17.2927306644	14.3666080422	19.5078628485	16.3648217885	11.1261772379	14.3027960333	0	14.9140742702	16.494252139	16.5256501048	14.0840356163	7.6731857067
14_1	I	13.9928992163	15.3254212004	15.8105624331	13.7615890596	10.1017332509	19.670087195	9.7801333574	0	10.1017332509	12.1711218851	13.6734197951	15.6365009203	15.8961583615	9.2403106107	12.8447769223
15_1	I	10.8969763731	15.8055378659	12.4325334945	15.8803771012	10.0350987883	19.8119511808	11.5747645309	7.5818415253	8.5780714489	0	11.704007008	11.8226173647	13.4324029981	9.8977327599	6.5893522501
16_1	I	12.7303398467	16.8106299947	14.8218078179	15.1788074514	11.8441767549	19.6468408499	13.854770008	9.1239064635	10.8876147413	0	13.3541168262	14.217318447	13.9287657204	11.70671247	0
17_1	I	16.0975201584	15.3372141177	17.2894721326	18.6736565467	15.8717962102	19.056379959	17.7024679634	12.7775928201	15.2068519694	14.0191801327	16.3747893195	15.5880084745	15.401175665	14.7853560263	4.528414539
18_1	I	16.2115991687	13.4910878637	15.26011544	16.169371498	13.1868602132	19.5094193777	15.0994797476	9.9276600276	12.8332662345	8.345657144	15.5531337397	14.4498043654	15.1992347825	14.5011489913	7.9320971796
19_1	I	11.8685593574	13.675638669	14.6525008167	14.955681731	10.8689451235	19.6679964693	12.556468999	8.7017176006	10.6991165475	0	16.0469979492	14.3707419306	16.0733088412	10.0215652283	11.158311474
1_2	II	11.6535669984	15.035631702	16.6595593166	16.3174570692	9.6549098265	19.6641483806	12.0555565092	6.8582527702	9.8473311866	0	13.8116488125	16.6205655668	16.6659570262	10.1689460181	6.8582527702
2_2	II	16.1963481815	16.6129481571	18.0616506247	19.4182753376	16.512406171	17.8757130699	18.5541906688	13.765979983	16.3583506264	9.353046715	16.738869394	15.3395583992	15.7460422457	15.9753521759	0
3_2	II	17.5310144502	18.0956675004	17.5523302206	17.7765267036	14.8296997892	17.6247942858	16.8249709758	11.747707865	14.5832711226	14.7218709771	14.9876470111	16.0238065942	16.1988482875	14.1506353242	10.6589135354
4_2	II	13.6820171471	14.715470264	17.5119606634	15.5935905899	9.8027626999	19.3940368337	11.8153526783	0	9.2729657087	7.1111798024	16.2079429273	17.4967841508	17.5042592311	9.6874200832	0
5_2	II	18.4907643655	16.3878362683	16.9640511542	17.9009173737	16.3088089694	16.7899306194	17.5270075087	12.2628617627	14.8386051175	16.5478133914	15.2269399511	13.1402439794	13.4243996491	14.1815645175	4.576159822
6_2	II	18.0426076497	18.0177847295	16.7692632935	18.1831383702	17.407536105	17.6308818686	17.8481610135	15.1991949949	13.6789640409	12.8260551387	17.2149594534	16.262169924	15.5113369755	4.5661523216	0
7_2	II	17.978590518	14.7626052361	18.2124264777	18.21997528	15.1121521534	16.9595088826	17.2640605499	12.3137767989	14.8104402969	16.4845245845	15.5180532485	13.6470624041	14.5699405371	15.1767778812	8.2804485126
8_2	II	16.5449561348	17.4641244422	17.8655166303	18.7739370361	16.5754455246	18.5596671695	18.633072926	14.4087219802	13.299939368	14.0915857529	16.6717038729	15.8902743667	15.1263996744	10.6890523157	0
9_2	II	13.846606026	11.4494317008	17.0689110041	17.3998350752	10.0228818801	19.6690476998	12.0945807509	7.3423560797	9.0730851655	4.241854176	10.8647271191	16.5092114208	15.0416071949	9.5230277534	5.2032155286
10_2	II	17.7863221428	14.5043785538	17.9712221793	16.8698627393	11.7229009365	18.5993335778	13.8001118131	8.2852683886	11.5738915814	5.4081278678	12.4772867541	17.8573158777	17.7321290206	16.3638669844	6.7095252704
11_2	II	13.4842016511	17.2844600347	17.9785315395	16.1775193784	13.0207503633	19.0314593442	15.2112983488	10.0129849086	12.9090159864	7.283909827	13.3762960906	17.877327237	17.8831912075	12.6671616288	10.9757786438
12_2	II	16.89032757	15.9003394184	18.3180181876	18.7375077139	15.6848427995	17.7403376786	17.8232700456	13.0541918001	15.5031558181	15.5870209338	16.0923495443	15.0569179813	15.4104668625	15.5725923542	8.5008224936
13_2	II	15.5380809229	15.0021047187	18.0920005083	17.7307811283	14.4919840433	19.0389578212	16.420539092	11.4661521357	14.1364825883	12.411867037	14.8899794356	17.9034612468	17.9508851851	14.0039759231	6.3954199172
14_2	II	9.9159643522	17.0914847188	16.8691632509	16.283722087	6.3473362679	19.4935523319	8.6550191721	5.3649472073	6.9263803568	0	9.790569226	16.0743624383	16.0726800193	5.3649472073	5.3649472073
15_2	II	11.7206572712	16.909428362	17.4003990685	15.3397154063	9.5752807486	19.3779824873	12.1586664229	7.359805962	9.8550548954	8.7693434983	12.3956578107	17.3678127462	17.3603666059	9.9374305094	5.7923037528
16_2	II	16.4273599183	14.0359746126	17.1300924404	17.8642238212	14.7460992134	19.2868335303	16.5903637569	11.8633296409	14.0177519458	12.705093593	15.1434903974	16.3841522359	16.4881844352	14.6973186459	7.1452496298
17_2	II	13.2126740453	11.0611943157	17.5071505589	15.3582338677	11.6983830784	19.5718342335	13.0606878375	7.8966607137	10.89135371	9.4775815549	13.9567738972	17.3964138869	17.2829204402	10.4765693684	0
18_2	II	16.1747850749	16.5299273366	17.5991733584	16.80143259	15.1176837279	19.0284648177	15.3910003897	5.2231035242	0	0	15.1367337878	17.3777942973	17.3491822026	14.3614405742	9.7705676765
19_2	II	13.8686894732	15.1776787542	16.434747937	15.3075128416	10.836960485	19.5034463419	12.5469060396	9.7004031182	9.3789084713	0	16.3133955825	16.3133955825	16.6151590392	11.962064079	0
1_3	III	13.3652575266	14.5840141455	17.9313118659	15.2687275833	12.4142947265	19.3974061715	14.2753968851	8.5110996133	11.7554846528	9.5091210679	13.061897381	17.8558740412	17.8635978247	11.5950690708	8.5110996133
2_3	III	14.6470673992	17.3244741389	17.3439079953	17.0901921462	14.1107104008	19.1151030164	16.1760243421	11.0428331058	13.9275991338	8.8752995394	15.3110514501	16.9649925267	16.8538035712	13.5305575153	7.8783684283
3_3	III	14.2123596425	15.4261232973	17.1808405351	16.509120047	13.0721794363	19.4545009523	15.264376115	10.0935108564	12.9668391267	0	15.60001348	16.9714438903	16.9977549646	12.5372173702	0
4_3	III	15.9568238831	17.0380830808	18.1198737628	15.5787415408	12.4347066275	18.8854222802	14.333988999	9.4365295931	12.3267441994	7.3279759809	13.0195822628	18.065768268	18.0810791574	12.4137508223	8.0613454474
5_3	III	11.4282664346	16.7145112038	17.2566238375	16.0265885959	11.2606035295	19.406838927	12.4798343482	8.8806098683	9.3942644884	6.6693972001	14.7844874664	17.2460614913	17.2839116655	8.9799414696	10.6256930756
6_3	III	13.1621363339	15.3301763499	16.8370047668	16.7478350428	12.8376032256	19.60455974	14.910046579	10.6247246569	11.63952967	10.927943498	13.0001352366	16.6821040121	16.7851965589	11.3365663067	0
7_3	III	14.0019830844	16.9322894695	16.907355094	14.2588113159	10.4931697175	19.3146054397	10.7204342332	0	10.2650723123	8.7229971689	12.2538529018	16.893267897	16.9036394961	10.7204342332	6.1550055289
8_3	III	12.0723561873	14.8827711564	14.8777474234	13.8777953437	9.9383327333	19.7852066654	9.0391421992	0	9.7161853594	6.149967605	11.4519498233	14.8591759383	15.4793723243	6.149967605	5.1701424249
9_3	III	8.9318188775	17.1409471311	17.9557100081	14.3551953167	9.8149870496	19.1808016835	10.7211300124	0	8.8165878164	8.5541932202	10.273981787	17.9523019112	17.9542199563	7.2380106802	0
10_3	III	13.6427755285	13.9345210001	15.7818868217	16.6779970242	12.0704194328	19.7508282825	12.2112507645	0	11.9143385665	7.7912095652	12.9346131409	15.6581537465	15.7035720066	10.3707342597	6.7977079927
11_3	III	15.6514886794	15.2571176018	17.9539495249	18.6474839059	15.8244170835	18.9047737226	17.6310078611	12.6785169218	15.2352823624	8.3971802622	15.8595052196	17.3452805324	17.4072721582	14.9027167201	0
12_3	III	10.2473215806	16.8563687791	15.7819422775	15.1922525631	8.049954335	19.6439500481	9.6312831081	0	7.3166133392	6.7361688181	11.2467279958	15.719778425	15.7098631405	7.3166133392	9.8116413197
13_3	III	11.9216316001	17.2296760118	17.0876017648	13.6234691231	9.4422083661	19.3880154929	10.178344164	0	7.8613877027	6.8675782483	11.528084416	17.0676773669	17.0731386399	8.6660813805	7.4484166715
14_3	III	16.508351253	14.6934532421	17.5546457674	18.5081295706	15.4280300949	18.9087556887	17.221077509	12.4353472907	14.7795210387	14.7683376994	15.9275915264	16.2180075995	16.3076436718	14.7284988824	7.7692894542
15_3	III	13.9126758156	14.9126290401	15.6928282926	16.5438535162	13.4335448313	19.6517042009	15.0329195317	10.3900957958	13.2471496931	9.9754166148	14.6744776986	15.0184203967	15.8888899704	12.9127693622	8.3933174603
16_3	III	15.3026487842	13.8564541284	17.3799272726	17.4813429219	14.7536495101	19.3312817455	16.4443380253	11.2354669645	14.4652298853	12.7440924349	15.7871197097	16.7242666471	16.6507867457	14.2069303962	7.5421897475
17_3	III	17.4010296729	16.6934974774	17.6500455893	15.9461495162	7.9918035309	18.779080874	10.7094526195	0	8.2538930214	0	9.1262122999	17.3224169234	17.0316221576	15.9157023872	5.692369702
18_3	III	17.1716350699	16.1775213291	16.7550733721	16.0509255445	12.8981413772	19.0510847862	14.9958438499	9.9733887775	12.9959763076	0	14.4955773657	16.5509066923	16.7946957909	15.9507815084	6.0864511137
19_3	III	11.6852661229	15.0067998869	17.0157557363	14.5499585371	10.8782397276	19.5676911858	12.7845681319	7.8835951016	11.2703746448	0	12.6590558382	16.9715619605	17.0119102854	9.6865797813	7.8835951016
