sample_name	amoxicillin-clavulanic acid	ampicillin	amikacin	aztreonam	nitrofurantoin	ceftriaxone	sulfamethoxazole	trimethoprim	ciprofloxacin	chloramphenicol	fosfomycin	netilmicin	gentamicin	imipenem	meropenem	measurement_sign	measurement_units	laboratory_typing_method	laboratory_typing_platform	vendor	laboratory_typing_method_version_or_reagent	testing_standard
Kleb22	resistant	resistant	susceptible	resistant	intermediate	resistant	resistant	resistant	intermediate	susceptible	resistant	resistant	susceptible	susceptible	susceptible	==	mg/L	missing	Vitek	Biomérieux	E-Test	EUCAST
Kleb90	susceptible	resistant	susceptible	not defined	resistant	susceptible	not defined	not defined	susceptible	susceptible	not defined	not defined	not defined	not defined	not defined	==	mg/L	missing	Vitek	Biomérieux	E-Test	EUCAST
Kleb24	susceptible	resistant	susceptible	susceptible	susceptible	susceptible	susceptible	susceptible	susceptible	susceptible	intermediate	susceptible	susceptible	susceptible	susceptible	==	mg/L	missing	Vitek	Biomérieux	E-Test	EUCAST
Kleb27	susceptible	resistant	susceptible	susceptible	resistant	susceptible	susceptible	susceptible	susceptible	susceptible	resistant	susceptible	not defined	intermediate	susceptible	==	mg/L	missing	Vitek	Biomérieux	E-Test	EUCAST
Kleb28	resistant	resistant	susceptible	resistant	resistant	resistant	resistant	resistant	resistant	susceptible	resistant	resistant	resistant	resistant	susceptible	==	mg/L	missing	Vitek	Biomérieux	E-Test	EUCAST
Kleb29	resistant	resistant	susceptible	resistant	intermediate	resistant	resistant	resistant	intermediate	susceptible	resistant	resistant	resistant	intermediate	susceptible	==	mg/L	missing	Vitek	Biomérieux	E-Test	EUCAST
Kleb60	resistant	resistant	susceptible	resistant	resistant	resistant	resistant	resistant	susceptible	susceptible	resistant	susceptible	susceptible	resistant	susceptible	==	mg/L	missing	Vitek	Biomérieux	E-Test	EUCAST
Kleb85	resistant	resistant	susceptible	resistant	resistant	resistant	resistant	resistant	susceptible	susceptible	resistant	susceptible	susceptible	resistant	susceptible	==	mg/L	missing	Vitek	Biomérieux	E-Test	EUCAST
Kleb91	resistant	resistant	susceptible	resistant	resistant	resistant	resistant	resistant	susceptible	susceptible	resistant	intermediate	susceptible	resistant	susceptible	==	mg/L	missing	Vitek	Biomérieux	E-Test	EUCAST
Kleb102	resistant	resistant	susceptible	resistant	resistant	resistant	susceptible	susceptible	susceptible	not defined	resistant	susceptible	susceptible	resistant	resistant	==	mg/L	missing	Vitek	Biomérieux	E-Test	EUCAST
