no,mAh,mOhm,V
01,2922,125,4.22
02,2896,58,4.22
03,2962,108,4.11
04,2962,125,4.22
05,2927,78,4.21
06,2968,61,4.21
07,3007,74,4.23
08,3009,125,4.22
09,2880,125,4.22
10,2934,113,4.22
11,2974,100,4.22
12,2944,125,4.22
13,2938,125,4.22
14,2869,125,4.22
15,2855,125,4.21
16,2922,125,4.22
17,2934,102,4.22
18,2990,125,4.21
19,3036,37,4.22
20,2924,125,4.21
21,2879,125,4.22
22,2969,125,4.21
23,3019,125,4.06
24,2947,125,4.22
25,2949,125,4.22
26,2745,125,4.21
27,3007,92,4.22
28,2950,125,4.22
29,2860,125,4.21
30,3031,114,4.22
31,3041,125,4.22
32,2909,125,4.22
33,2940,125,4.21
34,2894,125,4.22
35,2934,74,4.22
36,2998,125,4.21
37,2902,125,4.22
38,2955,125,4.22
39,2943,125,4.22
40,3040,125,4.22
41,2917,125,4.22
42,2992,125,4.22
43,2904,122,4.22
44,2943,125,4.21
45,2942,125,4.22
46,2960,125,4.21
47,2984,125,4.22
48,2974,125,4.22
49,2954,125,4.22
50,3022,115,4.22
51,2983,53,4.22
52,2943,123,4.22
53,2925,125,4.22
54,2960,74,4.21
55,2959,125,4.22
