mAh_sum	mAh_mean	mOhm_sum	mOhm_mean	cells
15072	3014.4	528	105.6	59,18,38,10,9
15087	3017.4	494	98.8	58,42,54,13,53
15085	3017.0	387	77.4	61,7,55,35,5
15074	3014.8	552	110.4	57,36,4,24,32
15069	3013.8	481	96.2	63,27,3,44,43
15081	3016.2	536	107.2	65,8,46,52,41
15085	3017.0	537	107.4	69,23,11,39,1
15062	3012.4	455	91.0	67,50,22,25,2
15067	3013.4	477	95.4	56,30,51,45,37
15060	3012.0	487	97.4	68,40,6,28,34
15086	3017.2	468	93.6	64,19,48,12,20
15134	3026.8	425	85.0	66,70,49,17,21
15085	3017.0	541	108.2	60,31,47,33,16
