time,usage,temperature,frequency
1,0.0,42,2000
2,1.4,43,2000
3,1.4,42,2000
4,0.0,42,2000
5,0.0,42,2000
6,2.7,43,2000
7,1.4,42,2000
8,1.4,43,2000
9,1.4,42,2000
10,0.0,42,2000
11,0.0,42,2000
12,2.7,42,2000
13,2.8,42,2000
14,0.0,41,2000
15,1.4,42,2000
16,2.8,41,2000
17,1.4,42,2000
18,0.0,42,2000
19,1.4,42,2000
20,1.4,42,2000
21,0.0,43,2000
22,1.4,43,2000
23,1.4,42,2000
24,1.4,42,2000
25,1.4,42,2000
26,0.0,43,2000
27,2.7,43,2000
28,0.0,42,2000
29,0.0,42,2000
30,0.0,42,2000
31,1.4,43,2000
32,0.0,43,2000
33,0.0,42,2000
34,1.3,42,2000
35,1.4,42,2000
36,1.4,41,2000
37,0.0,42,2000
38,1.4,42,2000
39,1.4,41,2000
40,1.4,43,2000
41,1.4,42,2000
42,0.0,43,2000
43,1.4,42,2000
44,1.4,42,2000
45,0.0,41,2000
46,1.4,43,2000
47,0.0,42,2000
48,0.0,44,2000
49,0.0,42,2000
50,0.0,43,2000
51,1.4,43,2000
52,0.0,42,2000
53,1.4,42,2000
54,0.0,43,2000
55,1.4,42,2000
56,1.4,43,2000
57,1.4,41,2000
58,1.4,42,2000
59,1.4,42,2000
60,0.0,42,2000
61,1.4,42,2000
62,1.4,42,2000
63,1.4,43,2000
64,0.0,42,2000
65,1.4,43,2000
66,1.4,43,2000
67,0.0,42,2000
68,0.0,42,2000
69,1.4,41,2000
70,1.4,42,2000
71,1.4,42,2000
72,0.0,42,2000
73,7.4,42,2000
74,2.7,41,2000
75,1.4,42,2000
76,0.0,42,2000
77,1.4,43,2000
78,0.0,42,2000
79,0.0,41,2000
80,0.0,42,2000
81,0.0,42,2000
82,0.0,43,2000
83,1.4,43,2000
84,0.0,43,2000
85,1.4,42,2000
86,1.4,42,2000
87,0.0,43,2000
88,2.7,43,2000
89,1.4,42,2000
90,1.4,42,2000
91,0.0,43,2000
92,1.4,42,2000
93,0.0,42,2000
94,1.4,43,2000
95,0.0,43,2000
96,1.4,43,2000
97,2.7,43,2000
98,1.3,42,2000
99,0.0,42,2000
100,0.0,42,2000
101,1.4,43,2000
102,1.4,42,2000
103,1.4,43,2000
104,1.4,43,2000
105,1.4,42,2000
106,0.0,42,2000
107,0.0,42,2000
108,0.0,42,2000
109,1.4,42,2000
110,1.4,42,2000
111,0.0,43,2000
112,1.4,41,2000
113,1.4,44,2000
114,0.0,42,2000
115,1.4,41,2000
116,0.0,42,2000
117,0.0,42,2000
118,1.4,42,2000
119,1.4,42,2000
120,0.0,42,2000
121,0.0,43,2000
122,1.4,42,2000
123,0.0,42,2000
124,1.3,43,2000
125,0.0,42,2000
126,0.0,42,2000
127,0.0,42,2000
128,2.8,42,2000
129,0.0,43,2000
130,1.4,43,2000
131,0.0,43,2000
132,1.4,42,2000
133,0.0,43,2000
134,0.0,43,2000
135,0.0,42,2000
136,1.4,41,2000
137,1.4,41,2000
138,0.0,42,2000
139,2.7,42,2000
140,1.4,43,2000
141,1.4,41,2000
142,1.4,42,2000
143,0.0,43,2000
144,0.0,42,2000
145,1.4,43,2000
146,1.4,42,2000
147,1.4,43,2000
148,1.4,43,2000
149,1.4,43,2000
150,1.4,42,2000
151,1.4,42,2000
152,1.4,42,2000
153,2.8,42,2000
154,1.4,42,2000
155,0.0,42,2000
156,1.4,43,2000
157,1.4,42,2000
158,0.0,43,2000
159,1.4,42,2000
160,0.0,42,2000
161,0.0,42,2000
162,1.4,43,2000
163,0.0,42,2000
164,0.0,42,2000
165,0.0,42,2000
166,1.4,42,2000
167,1.4,42,2000
168,1.4,42,2000
169,0.0,43,2000
170,2.7,43,2000
171,1.4,42,2000
172,1.4,42,2000
173,1.4,42,2000
174,0.0,42,2000
175,1.4,42,2000
176,1.4,41,2000
177,1.4,42,2000
178,1.4,42,2000
179,0.0,42,2000
180,0.0,42,2000
181,4.1,42,2000
182,1.4,43,2000
183,1.4,42,2000
184,1.4,43,2000
185,1.4,42,2000
186,1.4,43,2000
187,0.0,42,2000
188,0.0,42,2000
189,2.8,42,2000
190,0.0,42,2000
191,1.4,43,2000
192,1.4,43,2000
193,1.4,43,2000
194,1.4,42,2000
195,0.0,43,2000
196,1.4,43,2000
197,0.0,43,2000
198,1.4,41,2000
199,1.4,43,2000
