sample_name	16s_based_strain
336g_FTP	Bacillus subtilis BZR 336g
336g_Nextera	Bacillus subtilis BZR 336g
517_Nextera	Bacillus subtilis BZR 517
517g_FTP	Bacillus subtilis BZR 517
1sq_Nextera	Lactobacillus salivarius
01-1sq_FTP	Lactobacillus salivarius
01sq_FTP	Lactobacillus salivarius
1sq_FTP	Lactobacillus salivarius
1-2sq_FTP	Lactobacillus salivarius
2sq_FTP	Lactobacillus curvatus
2sq_Nextera	Lactobacillus curvatus
8sq_Nextera	Lactobacillus heilongjiangensis
08-1sq_FTP	Lactobacillus heilongjiangensis
