reference_id	former_id	id_bp	VFID	gene_host	gene_name	gene_description	gene_symbol	gene_accession_id	vfdb_number	protein_host	protein_name	protein_description	protein_symbol	protein_accession_id	protein_header	VF_Name	VF_FullName	Bacteria	VFCID	VFcategory	Characteristics	Structure	Function	Mechanism	Reference	id_bp.1	id_maximal_coverage_depth	id_coverage_breadth	id_coverage_breadth_to_id_bp	id_mapped_bp	id_total_relative_abundance	id_mapped_relative_abundance	sample_total_reads	sample_mapped_reads	sample_total_bp	sample_mapped_bp	sample_average_total_reads_bp	sample_average_mapped_reads_bp	sample_mapped_reads_to_total_reads	id_mapped_reads	id_unmapped_reads	id_mapped_reads_per_million_sample_total_reads	id_mapped_reads_per_million_sample_mapped_reads	id_mapped_reads_per_kbp_per_million_sample_total_reads	id_mapped_reads_per_kbp_per_million_sample_mapped_reads
ID00024	VFG000581(gb|NP_463126) (STM4261) hypothetical protein [SiiE (VF0970) - Adherence (VFC0001)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	16680	VF0474	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	SiiE (VF0970) - Adherence (VFC0001)	hypothetical protein	STM4261	gb|NP_463126	474.0	Bordetella pertussis Tohama I	Cya (VF0028) - Exotoxin (VFC0235)	bifunctional hemolysin-adenylate cyclase precursor	cyaA	gb|WP_010929995	VFG000025(gb|WP_010929995) (cyaA) bifunctional hemolysin-adenylate cyclase precursor [Cya (VF0028) - Exotoxin (VFC0235)] [Bordetella pertussis Tohama I]	Lateral flagella		Aeromonas salmonicida	VFC0204	Motility			Inducible lateral peritrichous flagellar system is responsible for movement across solid surfaces or through viscous environments known as swarming motility; glycosylation of the lateral flagellin is essential for swarming motility over surfaces		Abstract(s) in PubMed	16680	155	16679	0.9999397419999998	1685796	214455.7816387982	4359169.017614141	1883712	92507	471271540	23184902	0.0039970841438886	0.0001962923540852	0.0491088871334896	6603	85	3505.312914076037	71378.38217648394	210.1506543211053	4279.27950698345
ID12648	VFG043061(gb|NP_460927) (fliK) flagellar hook-length control protein FliK [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	1218	VFG021415	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Peritrichous flagella (VF0967) - Motility (VFC0204)	flagellar hook-length control protein FliK	fliK	gb|NP_460927	21415.0	Salmonella enterica subsp. enterica serovar Agona str. SL483	Sta (VF0953) - Adherence (VFC0001)	fimbrial protein	staF	gb|WP_000957977	VFG021415(gb|WP_000957977) (staF) fimbrial protein [Sta (VF0953) - Adherence (VFC0001)] [Salmonella enterica subsp. enterica serovar Agona str. SL483]											1218	132	1217	0.9991789140000004	114798	199993.47197391465	4065198.616198317	1883712	92507	471271540	23184902	0.0039970841438886	0.0001962923540852	0.0491088871334896	484	41	256.9394896884449	5232.036494535549	210.9519619773768	4295.596465135918
ID15000	VFG043029(gb|NP_460152) (flgI) flagellar biosynthesis protein FlgA [Peritrichous flagella (VF0967) - Motility (VFC0204)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	1098	VFG026735	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Peritrichous flagella (VF0967) - Motility (VFC0204)	flagellar biosynthesis protein FlgA	flgI	gb|NP_460152	26735.0	Mycobacterium canettii CIPT 140070017	ABC transporter (VF0818) - Nutritional/Metabolic factor (VFC0272)	Iron-regulated transporter IrtB	irtB	gb|WP_015292877	VFG026735(gb|WP_015292877) (irtB) Iron-regulated transporter IrtB [ABC transporter (VF0818) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium canettii CIPT 140070017]											1098	131	1097	0.999089221	102352	197798.4024695145	4020580.192288409	1883712	92507	471271540	23184902	0.0039970841438886	0.0001962923540852	0.0491088871334896	427	46	226.68008697720245	4615.866907369172	206.44816664590388	4203.8860722852205
ID04287	VFG044150(gb|NP_461704) (iroN) TonB-dependent siderophore receptor protein [Salmochelin (VF0972) - Nutritional/Metabolic factor (VFC0272)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	2181	VFG007404	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Salmochelin (VF0972) - Nutritional/Metabolic factor (VFC0272)	TonB-dependent siderophore receptor protein	iroN	gb|NP_461704	7404.0	Vibrio vulnificus YJ016	Flagella (VF0519) - Motility (VFC0204)	flagellar biosynthesis protein	fliR	gb|WP_011150913	VFG007404(gb|WP_011150913) (fliR) flagellar biosynthesis protein [Flagella (VF0519) - Motility (VFC0204)] [Vibrio vulnificus YJ016]											2181	134	2180	0.999541296	203245	197739.2994544037	4019378.825599435	1883712	92507	471271540	23184902	0.0039970841438886	0.0001962923540852	0.0491088871334896	804	32	426.8168382427887	8691.234176873102	195.6977708586835	3984.976697328336
ID09863	VFG041159(gb|WP_000076069) (SG_RS05220) type VI secretion system ImpA and VasL domain-containing protein [T6SS (VF0975) - Effector delivery system (VFC0086)] [Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91]	1404	VFG015953	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	T6SS (VF0975) - Effector delivery system (VFC0086)	type VI secretion system ImpA and VasL domain-containing protein	SG_RS05220	gb|WP_000076069	15953.0	Pseudomonas syringae pv. tomato str. DC3000	Pyoverdine (VF0094) - Nutritional/Metabolic factor (VFC0272)	3-oxo-C12-homoserine lactone acylase PvdQ	pvdQ	gb|WP_011103880	VFG015953(gb|WP_011103880) (pvdQ) 3-oxo-C12-homoserine lactone acylase PvdQ [Pyoverdine (VF0094) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas syringae pv. tomato str. DC3000]											1404	118	1403	0.999287684	128737	194565.1543970169	3954859.069191664	1883712	92507	471271540	23184902	0.0039970841438886	0.0001962923540852	0.0491088871334896	543	27	288.26062582815206	5869.826067216535	205.3138360599374	4180.787797162774
ID05171	VFG042313(gb|NP_459562) (apeE) autotransporter outer membrane beta-barrel domain-containing protein [ApeE (VF0973) - Effector delivery system (VFC0086)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	1971	VFG009300	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	ApeE (VF0973) - Effector delivery system (VFC0086)	autotransporter outer membrane beta-barrel domain-containing protein	apeE	gb|NP_459562	9300.0	Mycobacterium ulcerans Agy99	PanC/PanD (VF0319) - Nutritional/Metabolic factor (VFC0272)	pantoate--beta-alanine ligase	panC	gb|WP_011741822	VFG009300(gb|WP_011741822) (panC) pantoate--beta-alanine ligase [PanC/PanD (VF0319) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium ulcerans Agy99]											1971	123	1970	0.999492738	180024	193808.3879908466	3939476.538368106	1883712	92507	471271540	23184902	0.0039970841438886	0.0001962923540852	0.0491088871334896	745	45	395.4957021030816	8053.444604192116	200.65738310658628	4085.9688504272526
ID01404	VFG044147(gb|NP_461701) (iroC) multidrug ABC transporter ATP-binding protein [Salmochelin (VF0972) - Nutritional/Metabolic factor (VFC0272)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	3654	VFG002196	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Salmochelin (VF0972) - Nutritional/Metabolic factor (VFC0272)	multidrug ABC transporter ATP-binding protein	iroC	gb|NP_461701	2196.0	Enterococcus faecalis V583	Hyaluronidase (VF0359) - Exoenzyme (VFC0251)	polysaccharide lyase, family 8	EF3023	gb|WP_011109578	VFG002196(gb|WP_011109578) (EF3023) polysaccharide lyase, family 8 [Hyaluronidase (VF0359) - Exoenzyme (VFC0251)] [Enterococcus faecalis V583]											3654	126	3653	0.9997262639999996	332787	193253.15643647432	3928190.537259039	1883712	92507	471271540	23184902	0.0039970841438886	0.0001962923540852	0.0491088871334896	1380	48	732.5960656406074	14917.790005080697	200.49153411073	4082.5916817407488
ID16952	VFG020976(gb|WP_000492926) (sseK2) type III secretion system effector SseK2 [TTSS-2 secreted effectors (VF0947) - Effector delivery system (VFC0086)] [Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853]	1008	VFG032455	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TTSS-2 secreted effectors (VF0947) - Effector delivery system (VFC0086)	type III secretion system effector SseK2	sseK2	gb|WP_000492926	32455.0	Listeria monocytogenes SLCC2376	Lipoprotein diacylglyceryl transferase lgt (VF0790) - Post-translational modification (VFC0315)	prolipoprotein diacylglyceryl transferase	lgt	gb|WP_003729212	VFG032455(gb|WP_003729212) (lgt) prolipoprotein diacylglyceryl transferase [Lipoprotein diacylglyceryl transferase lgt (VF0790) - Post-translational modification (VFC0315)] [Listeria monocytogenes SLCC2376]											1008	141	1007	0.9990083500000004	91430	192467.30893056915	3912216.8849092	1883712	92507	471271540	23184902	0.0039970841438886	0.0001962923540852	0.0491088871334896	343	37	182.0872829816872	3707.827515755565	180.6421458151659	3678.400313249568
ID15323	VFG042609(gb|NP_461943) (STM3026) hypothetical protein [Std (VF0956) - Adherence (VFC0001)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	1077	VFG027864	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Std (VF0956) - Adherence (VFC0001)	hypothetical protein	STM3026	gb|NP_461943	27864.0	Mycobacterium abscessus subsp. bolletii 50594	Mce6 (VF0829) - Others (VFC0346)	MCE family protein	mce6D	gb|WP_016342352	VFG027864(gb|WP_016342352) (mce6D) MCE family protein [Mce6 (VF0829) - Others (VFC0346)] [Mycobacterium abscessus subsp. bolletii 50594]											1077	139	1075	0.9981439050000002	97635	192361.70319191893	3910070.2733304007	1883712	92507	471271540	23184902	0.0039970841438886	0.0001962923540852	0.0491088871334896	378	34	200.66761797981857	4086.1772622612334	186.32090805925583	3794.03645521006
ID00073	VFG043571 (STM2689*) unknown protein [BapA (VF0971) - Adherence (VFC0001)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	11475	VF0414	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	BapA (VF0971) - Adherence (VFC0001)	unknown protein	STM2689*		414.0	Listeria monocytogenes EGD-e	LLO (VF0064) - Exotoxin (VFC0235)	listeriolysin O precursor	hly	gb|NP_463733	VFG000074(gb|NP_463733) (hly) listeriolysin O precursor [LLO (VF0064) - Exotoxin (VFC0235)] [Listeria monocytogenes EGD-e]	RicA	Rab2 interacting conserved protein A	Brucella melitensis	VFC0086	Effector delivery system	The secretion system functional for RicA secretion remains to be discovered		Specifically interacts with GDP bound form of Rab2. The RicA-Rab2 interaction may affect the maturation of the Brucella-containing vacuole in a way that slows intracellular replication, thereby contributing to the evasion of the innate immune system.		Abstract(s) in PubMed	11475	136	11474	0.999912948	1039739	192265.0860283816	3908106.3694307567	1883712	92507	471271540	23184902	0.0039970841438886	0.0001962923540852	0.0491088871334896	4310	44	2288.035538341317	46591.06878398392	199.39307523671613	4060.223859170712
