reference_id	former_id	id_bp	vfid	vsiid	ssid	feature_names	gene_host	recname_full	subname_full	Source	Literature Name	User Designated Name	Gene Name(s)	Virulence Factor Type	Short Description	Long Description	Update Date	Status	Protein Sequences	Nucleotide Sequences	id_bp.1	id_maximal_coverage_depth	id_coverage_breadth	id_coverage_breadth_to_id_bp	id_mapped_bp	id_total_relative_abundance	id_mapped_relative_abundance	sample_total_reads	sample_mapped_reads	sample_total_bp	sample_mapped_bp	sample_average_total_reads_bp	sample_average_mapped_reads_bp	sample_mapped_reads_to_total_reads	id_mapped_reads	id_unmapped_reads	id_mapped_reads_per_million_sample_total_reads	id_mapped_reads_per_million_sample_mapped_reads	id_mapped_reads_per_kbp_per_million_sample_total_reads	id_mapped_reads_per_kbp_per_million_sample_mapped_reads
ID09532	21988|vfid|54138|vsiid|75005|ssid|beta-lactamase_[Staphylococcus_aureus]	846	21988	54138	75005	beta-lactamase_[Staphylococcus_aureus]	Staphylococcus_aureus			"<a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR><a href  = ""http://ardb.cbcb.umd.edu/"" target=""_blank"">ARDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=NP_863283"" target=""_blank"">NP_863283</a>"	NP_863283.1	NP_863283|NP_863283	antibiotic resistance	beta-lactamase [Staphylococcus aureus]		Feb 8 2010 04:34PM	virulence factor	Yes	Yes	846	2318	845	0.9988166199999932	1246037	622984.5814561923	13725408.970662214	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	5102	237	526.2861465848238	11410.041373141004	622.0876437172858	13487.046540355796
ID02131	7698|vfid|9292|vsiid|11224|ssid|glycerol_ester_hydrolase_[Staphylococcus_aureus_subsp._aureus_MW2]	2073	7698	9292	11224	glycerol_ester_hydrolase_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21282026"" target=""_blank"">21282026</a>"	NP_645114.1	NP_645114|glycerol ester hydrolase|NP_645114	virulence protein	glycerol ester hydrolase [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:33PM	virulence factor	Yes	Yes	2073	1424	2072	0.9995176359999975	2320442	473465.2814043673	10431244.711537989	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	9620	210	992.330993756567	21514.033322151405	478.69319525160006	10378.211925784564
ID01237	2690|vfid|47915|vsiid|68752|ssid|clumping_factor_B_[Staphylococcus_aureus_subsp._aureus_MW2]	2724	2690	47915	68752	clumping_factor_B_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21284280"" target=""_blank"">21284280</a>"	NP_647368.1	NP_647368|Clumping factor B|NP_647368	virulence protein	clumping factor B [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	2724	3159	2723	0.9996327429999852	2964341	460296.6141514241	10141116.594365764	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	14022	1255	1446.4101033736572	31358.60449513586	530.9875563045731	11511.96934476353
ID03921	7696|vfid|47945|vsiid|68782|ssid|zinc_metalloproteinase_aureolysin_[Staphylococcus_aureus_subsp._aureus_MW2]	1530	7696	47945	68782	zinc_metalloproteinase_aureolysin_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21284287"" target=""_blank"">21284287</a>"	NP_647375.1	NP_647375|zinc metalloproteinase aureolysin|NP_647375	virulence protein	zinc metalloproteinase aureolysin [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:33PM	virulence factor	Yes	Yes	1530	1468	1529	0.9993461150000036	1646385	455152.2485392668	10027777.47808069	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	6758	94	697.1073654684906	15113.49658951135	455.6257290643729	9878.102346085849
ID04197	7695|vfid|47944|vsiid|68781|ssid|immunoglobulin_G_binding_protein_A_precursor_[Staphylococcus_aureus_subsp._aureus_MW2]	1479	7695	47944	68781	immunoglobulin_G_binding_protein_A_precursor_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281813"" target=""_blank"">21281813</a>"	NP_644899.1	NP_644899|Immunoglobulin G binding protein A precursor|NP_644899	virulence protein	immunoglobulin G binding protein A precursor [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:33PM	virulence factor	Yes	Yes	1479	1515	1478	0.999324530000004	1582219	452496.4164632482	9969264.984375706	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	7028	244	724.958651156045	15717.320809571733	490.1681211332285	10626.99175765499
ID01444	5717|vfid|33452|vsiid|54275|ssid|RecName:_Full=Protein_translocase_subunit_secA_1;_	2532	5717	33452	54275	RecName:_Full=Protein_translocase_subunit_secA_1;_		Protein_translocase_subunit_secA_1		"<a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR><a href  = ""http://www.jenner.ac.uk/BacBix3/PPprints.htm"" target=""_blank"">PRINTS</a><BR>"	"<a href=""http://www.uniprot.org/uniprot/SECA_STAAU"" target=""_blank"">O06446</a>"	O06446	Name=secA1; OrderedLocusNames=SAOUHSC_00769;|Preprotein translocase subunit secA. |Protein translocase subunit secA 1. |RecName: Full=Protein translocase subunit secA 1; 	virulence protein	RecName: Full=Protein translocase subunit secA 1; 		Apr 30 2011 07:58PM	virulence factor	Yes	Yes	2532	1338	2531	0.9996048630000004	2544956	425141.3033175241	9366585.357078696	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	10451	139	1078.051061928262	23372.47008833725	425.7705615830419	9230.833368221662
ID00333	7713|vfid|49122|vsiid|69959|ssid|hypothetical_protein_MW0263_[Staphylococcus_aureus_subsp._aureus_MW2]	4440	7713	49122	69959	hypothetical_protein_MW0263_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281992"" target=""_blank"">21281992</a>"	NP_645079.1	NP_645079|hypothetical protein|NP_645079	virulence protein	hypothetical protein MW0263 [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 03:05PM	virulence factor	Yes	Yes	4440	1390	4439	0.9997748529999976	4446590	423604.7678186793	9332732.86899578	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	18333	151	1891.102298184942	40999.66454209996	425.9239410326446	9234.158680653143
ID02742	2706|vfid|47927|vsiid|68764|ssid|capsular_polysaccharide_synthesis_enzyme_Cap8D_[Staphylococcus_aureus_subsp._aureus_MW2]	1824	2706	47927	68764	capsular_polysaccharide_synthesis_enzyme_Cap8D_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281856"" target=""_blank"">21281856</a>"	NP_644942.1	NP_644942|capsular polysaccharide synthesis enzyme Cap8D|NP_644942	virulence protein	capsular polysaccharide synthesis enzyme Cap8D [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	1824	1260	1823	0.9994517580000056	1704090	395170.4091951261	8706275.629854321	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	7015	171	723.6176633266442	15688.247791568823	396.7202101571514	8601.01304362326
ID06514	7694|vfid|9284|vsiid|11212|ssid|capsular_polysaccharide_synthesis_enzyme_Cap8P_[Staphylococcus_aureus_subsp._aureus_MW2]	1146	7694	9284	11212	capsular_polysaccharide_synthesis_enzyme_Cap8P_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281868"" target=""_blank"">21281868</a>"	NP_644954.1	NP_644954|capsular polysaccharide synthesis enzyme Cap8P|NP_644954	virulence protein	capsular polysaccharide synthesis enzyme Cap8P [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:33PM	virulence factor	Yes	Yes	1146	1312	1145	0.9991270000000012	1067819	394121.1571630435	8683158.824587699	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	4535	193	467.7984466409596	10142.0105110142	408.20108781933646	8849.921911879757
ID07917	7538|vfid|8963|vsiid|10881|ssid|lipoprotein_[Staphylococcus_aureus_subsp._aureus_Mu50]	996	7538	8963	10881	lipoprotein_[Staphylococcus_aureus_subsp._aureus_Mu50]	Staphylococcus_aureus_subsp._aureus_Mu50			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=15923104"" target=""_blank"">15923104</a>"	NP_370638.1	NP_370638|SASa0114	virulence protein	lipoprotein [Staphylococcus aureus subsp. aureus Mu50]		Nov 27 2007 10:38AM	virulence factor	Yes	Yes	996	1263	995	0.9989969800000006	921328	391265.58901814977	8620245.805872776	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	3858	189	397.9639266021658	8627.977188862798	399.5621753033794	8662.627699661443
