reference_id	former_id	id_bp	vfid	vsiid	ssid	feature_names	gene_host	recname_full	subname_full	Source	Literature Name	User Designated Name	Gene Name(s)	Virulence Factor Type	Short Description	Long Description	Update Date	Status	Protein Sequences	Nucleotide Sequences	id_bp.1	id_maximal_coverage_depth	id_coverage_breadth	id_coverage_breadth_to_id_bp	id_mapped_bp	id_total_relative_abundance	id_mapped_relative_abundance	sample_total_reads	sample_mapped_reads	sample_total_bp	sample_mapped_bp	sample_average_total_reads_bp	sample_average_mapped_reads_bp	sample_mapped_reads_to_total_reads	id_mapped_reads	id_unmapped_reads	id_mapped_reads_per_million_sample_total_reads	id_mapped_reads_per_million_sample_mapped_reads	id_mapped_reads_per_kbp_per_million_sample_total_reads	id_mapped_reads_per_kbp_per_million_sample_mapped_reads
ID04313	8144|vfid|10202|vsiid|12601|ssid|sensor_protein_PhoQ_[Salmonella_typhimurium_LT2]	1464	8144	10202	12601	sensor_protein_PhoQ_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16764585"" target=""_blank"">16764585</a>"	NP_460200.1	NP_460200|sensory kinase protein in two-component regulatory system with PhoP, ligand is Mg+|NP_460200	differential gene regulation	sensor protein PhoQ [Salmonella typhimurium LT2]		Jan 28 2010 02:10PM	virulence factor	Yes	Yes	1464	133	1463	0.9993169000000004	151522	219615.7100422008	2764912.025342996	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	604	52	320.64349539632383	4053.7184813320896	219.018781008418	2768.933388888039
ID00095	13469|vfid|47277|vsiid|68114|ssid|putative_inner_membrane_protein_[Salmonella_typhimurium_LT2]	16680	13469	47277	68114	putative_inner_membrane_protein_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16767511"" target=""_blank"">16767511</a>"	NP_463126.1	NP_463126|putative inner membrane protein|NP_463126	virulence protein	putative inner membrane protein [Salmonella typhimurium LT2]		Jan 28 2010 02:13PM	virulence factor	Yes	Yes	16680	155	16679	0.9999397419999998	1685796	214455.7816387982	2699949.6959643946	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	6603	83	3505.312914076037	44315.73366264203	210.1506543211053	2656.8185649065967
ID03400	13430|vfid|21302|vsiid|40958|ssid|invasion_protein_regulator_[Salmonella_typhimurium_LT2]	1662	13430	21302	40958	invasion_protein_regulator_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16766182"" target=""_blank"">16766182</a>"	NP_461797.1	NP_461797|invasion genes transcription activator|NP_461797	virulence protein	invasion protein regulator [Salmonella typhimurium LT2]		Jan 28 2010 02:12PM	virulence factor	Yes	Yes	1662	127	1661	0.99939839	165940	211859.9437885128	2667268.685636329	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	636	41	337.6312302517582	4268.4850233894185	203.14755129468008	2568.2822042054263
ID01050	8113|vfid|10139|vsiid|12506|ssid|putative_autotransporter_[Salmonella_typhimurium_LT2]	2868	8113	10139	12506	putative_autotransporter_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16767041"" target=""_blank"">16767041</a>"	NP_462656.1	NP_462656|putative autotransporter|NP_462656	virulence protein	putative autotransporter [Salmonella typhimurium LT2]		Jan 28 2010 03:02PM	virulence factor	Yes	Yes	2868	147	2867	0.9996516100000002	286012	211608.88279509603	2664107.8846186823	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	1162	48	616.8671219379607	7798.710058456768	215.086165250335	2719.215501553964
ID01355	8123|vfid|47146|vsiid|67983|ssid|outer_membrane_usher_protein_precursor_[Salmonella_typhimurium_LT2]	2613	8123	47146	67983	outer_membrane_usher_protein_precursor_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16763926"" target=""_blank"">16763926</a>"	NP_459541.1	NP_459541|outer membrane usher protein|NP_459541	virulence protein	outer membrane usher protein precursor [Salmonella typhimurium LT2]		Jan 28 2010 02:09PM	virulence factor	Yes	Yes	2613	139	2612	0.9996175939999996	253025	205472.0766341963	2586846.885629994	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	1034	39	548.9161825162233	6939.643890227451	210.0712523980954	2655.814730282224
ID02152	13449|vfid|47255|vsiid|68092|ssid|needle_complex_export_protein_[Salmonella_typhimurium_LT2]	2058	13449	47255	68092	needle_complex_export_protein_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16766202"" target=""_blank"">16766202</a>"	NP_461817.1	NP_461817|invasion protein|NP_461817	virulence protein	needle complex export protein [Salmonella typhimurium LT2]		Jan 28 2010 02:13PM	virulence factor	Yes	Yes	2058	138	2057	0.999514094	198847	205022.94104645803	2581192.370352793	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	777	44	412.483436958516	5214.800099329525	200.42926965914285	2533.9164719774176
ID01188	13386|vfid|21214|vsiid|40826|ssid|sensor_kinase_[Salmonella_typhimurium_LT2]	2763	13386	21214	40826	sensor_kinase_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16764742"" target=""_blank"">16764742</a>"	NP_460357.1	NP_460357|Secretion system regulator:Sensor component|NP_460357	virulence protein	sensor kinase [Salmonella typhimurium LT2]		Jan 28 2010 02:11PM	virulence factor	Yes	Yes	2763	148	2762	0.999637993	266538	204694.9065117165	2577062.4898917805	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	1012	34	537.2371148031121	6791.991892563037	194.43978096384805	2458.1946770043564
ID02151	13435|vfid|47241|vsiid|68078|ssid|secreted_effector_protein_[Salmonella_typhimurium_LT2]	2058	13435	47241	68078	secreted_effector_protein_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16766188"" target=""_blank"">16766188</a>"	NP_461803.1	NP_461803|cell invasion protein|NP_461803	virulence protein	secreted effector protein [Salmonella typhimurium LT2]		Jan 28 2010 02:12PM	virulence factor	Yes	Yes	2058	130	2057	0.999513887	197839	203983.6338174084	2568107.7278421405	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	785	43	416.7303706723745	5268.4917348438585	202.4928914831752	2560.0057020621275
ID03629	13472|vfid|21388|vsiid|41086|ssid|putative_diguanylate_cyclase/phosphodiesterase_[Salmonella_typhimurium_LT2]	1602	13472	21388	41086	putative_diguanylate_cyclase/phosphodiesterase_[Salmonella_typhimurium_LT2]	Salmonella_typhimurium_LT2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=16767514"" target=""_blank"">16767514</a>"	NP_463129.1	NP_463129|putative diguanylate cyclase/phosphodiesterase|NP_463129	virulence protein	putative diguanylate cyclase/phosphodiesterase [Salmonella typhimurium LT2]		Jan 28 2010 02:13PM	virulence factor	Yes	Yes	1602	137	1601	0.9993758999999998	151667	200889.56163923128	2529154.06022393	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	599	38	317.9891618251622	4020.161209135632	198.4951072566556	2509.4639258025168
ID03108	9966|vfid|47665|vsiid|68502|ssid|RecName:_Full=Phosphoenolpyruvate-protein_phosphotransferase;_EC=2.7.3.9;_AltName:_Full=Phosphotransferase_system,_enzyme_I;_	1728	9966	47665	68502	RecName:_Full=Phosphoenolpyruvate-protein_phosphotransferase;_EC=2.7.3.9;_AltName:_Full=Phosphotransferase_system,_enzyme_I;_		Phosphoenolpyruvate-protein_phosphotransferase		"<a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR><a href  = ""http://www.jenner.ac.uk/BacBix3/PPprints.htm"" target=""_blank"">PRINTS</a><BR>"	"<a href=""http://www.uniprot.org/uniprot/PT1_SALTY"" target=""_blank"">P0A249</a>"	P0A249	RecName: Full=Phosphoenolpyruvate-protein phosphotransferase; EC=2.7.3.9; AltName: Full=Phosphotransferase system, enzyme I; |Name=ptsI; OrderedLocusNames=STM2432;	virulence protein	RecName: Full=Phosphoenolpyruvate-protein phosphotransferase; EC=2.7.3.9; AltName: Full=Phosphotransferase system, enzyme I; 		Oct 3 2010 11:26AM	virulence factor	Yes	Yes	1728	130	1726	0.998842766	162440	199470.2027405042	2511284.653310308	1883712	148999	471271540	37432885	0.0039970841438886	0.0003161637980515	0.079098609553902	646	55	342.93989739408147	4335.599567782334	198.46058876972307	2509.0275276518137
