sample_name	taxon	sample_reads_number	reference_genome_refseq	reference_genome_bp	sample_reads_bp	expected_coverage	genome_assembly_bp_raw	genome_assembly_bp_valid	genome_assembly_contigs_number_raw	genome_assembly_contigs_number_valid	plasmid_assembly_bp_raw	plasmid_assembly_bp_valid	plasmid_assembly_contigs_number_raw	plasmid_assembly_contigs_number_valid	genome_assembled_reads_percentage	genome_assembly_coverage
Kleb102	Klebsiella pneumoniae	1040088	NC_016845.1	5333942	313066488	58.7x	5299447	5297684	117	106	0	0	0	0	1.6921913405180564	0.99x
Kleb22	Klebsiella pneumoniae	805318	NC_016845.1	5333942	242400718	45.4x	5882169	5881113	118	111	310494	310320	28	27	2.42619454617292	1.10x
Kleb24	Klebsiella pneumoniae	856300	NC_016845.1	5333942	257746300	48.3x	5520109	5518356	106	94	674888	673111	52	40	2.1410029940294004	1.03x
Kleb27	Klebsiella pneumoniae	1056762	NC_016845.1	5333942	318085362	59.6x	5643045	5641111	88	76	229535	229535	18	18	1.7734582203125713	1.06x
Kleb28	Klebsiella pneumoniae	926382	NC_016845.1	5333942	278840982	52.3x	5887147	5885411	131	120	350471	350471	27	27	2.110669298962661	1.10x
Kleb29	Klebsiella pneumoniae	1259976	NC_016845.1	5333942	379252776	71.1x	5892364	5890967	127	118	357256	357070	39	38	1.5533088675401021	1.10x
Kleb60	Klebsiella pneumoniae	994296	NC_016845.1	5333942	299283096	56.1x	5667707	5666743	98	91	365799	365665	25	24	1.8934390467545819	1.06x
Kleb85	Klebsiella pneumoniae	1207354	NC_016845.1	5333942	363413554	68.1x	5325762	5324705	81	74	116479	116293	14	13	1.465191636743411	1.00x
Kleb90	Klebsiella pneumoniae	1216382	NC_016845.1	5333942	366130982	68.6x	5884446	5882697	119	108	355290	355104	29	28	1.606719258737847	1.10x
Kleb91	Klebsiella pneumoniae	1381726	NC_016845.1	5333942	415899526	78.0x	5327475	5326604	83	77	116165	116165	12	12	1.2807429840638962	1.00x
