reference_id	former_id	id_bp	tadb_id	gene_symbol	gene_geninfo_id	gene_refseq_id	dna_strand	start_locus	end_locus	gene_description	is_antisense_dna_strand	tadb_number	protein_symbol	protein_host	protein_geninfo_id	protein_refseq_id	protein_description	protein_header	Online Feature Type	Online Feature Replicon	Online Feature Strain	Online Feature Location	Online Feature Classification (toxin-antitoxin)	Online Feature Toxin	Online Feature Antitoxin	Online Feature Regulator	Online Feature Antitoxin (RNA)	id_bp.1	id_maximal_coverage_depth	id_coverage_breadth	id_coverage_breadth_to_id_bp	id_mapped_bp	id_total_relative_abundance	id_mapped_relative_abundance	sample_total_reads	sample_mapped_reads	sample_total_bp	sample_mapped_bp	sample_average_total_reads_bp	sample_average_mapped_reads_bp	sample_mapped_reads_to_total_reads	id_mapped_reads	id_unmapped_reads	id_mapped_reads_per_million_sample_total_reads	id_mapped_reads_per_million_sample_mapped_reads	id_mapped_reads_per_kbp_per_million_sample_total_reads	id_mapped_reads_per_kbp_per_million_sample_mapped_reads
ID00864	TADB|T5978 gi|198241740|ref|NC_011205.1|:c3661754-3661152 NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome [SeD_A3838]	603.0	T5978	SeD_A3838	198241740.0	NC_011205.1	c	3661754.0	3661152.0	NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome	True	5978.0							2.0	NC_011205	Salmonella enterica subsp. enterica serovar Dublin str. CT 02021853	3661152..3661911	-/YhfG-Fic	SeD_A3838 (200 a.a. | 3661152..3661754 | GeneID: 6873368)	SeD_A3839 (55 a.a. | 3661744..3661911 | GeneID: 6873552)			603	119	602	0.99834129	47512	167191.72804475337	156809200.75807175	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	195	41	103.51900927530323	96630.32705649156	171.67331554776655	160249.2986011469
ID01128	TADB|T437 gi|1109557564|ref|NC_003197.2|:3047626-3048153 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome. [STM2905]	528.0	T437	STM2905	1109557564.0	NC_003197.2		3047626.0	3048153.0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome.	False	437.0	STM2905	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	16766211	NP_461826.1	GNAT family N-acetyltransferase	TADB|T437 gi|16766211|ref|NP_461826.1| GNAT family N-acetyltransferase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2] [STM2905]	2.0	NC_003197	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	3047332..3048146	-/RHH-GNAT	STM2905 (175 a.a. | 3047619..3048146 | GeneID: 1254428)	STM2904 (96 a.a. | 3047332..3047622 | GeneID: 1254427)			528	106	527	0.9981060000000004	35605	143088.86999883788	134203118.80434276	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	142	36	75.38307342099004	70366.69970267592	142.77097238823873	133270.26458840136
ID03044	TADB|T5981 gi|198241740|ref|NC_011205.1|:4017418-4017822 NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome [SeD_A4173]	405.0	T5981	SeD_A4173	198241740.0	NC_011205.1		4017418.0	4017822.0	NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome	False	5981.0	SeD_A4173	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	198242686	YP_002217732.1	hypothetical protein SeD_A4173	TADB|T5981 gi|198242686|ref|YP_002217732.1| hypothetical protein SeD_A4173 [Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853] [SeD_A4173]	2.0	NC_011205	Salmonella enterica subsp. enterica serovar Dublin str. CT 02021853	4017418..4018129	-/Xre-RelE	SeD_A4173 (134 a.a. | 4017418..4017822 | GeneID: 6871392)	SeD_A4174 (107 a.a. | 4017806..4018129 | GeneID: 6871949)			405	103	404	0.9975311500000004	26296	137772.79031474804	129217165.15593491	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	103	29	54.6792715659294	51040.6342913776	135.01054707636888	126026.25750957432
ID04028	TADB|T442 gi|1109557564|ref|NC_003197.2|:c3728316-3727948 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome. [STM3558]	369.0	T442	STM3558	1109557564.0	NC_003197.2	c	3728316.0	3727948.0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome.	True	442.0	STM3558	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	16766844	NP_462459.1	prophage maintenance system killer protein	TADB|T442 gi|16766844|ref|NP_462459.1| prophage maintenance system killer protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2] [STM3558]	2.0	NC_003197	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	3727936..3728528	phd-doc/PHD-Fic	STM3558 (122 a.a. | 3727936..3728304 | GeneID: 1255081)	STM3559 (75 a.a. | 3728301..3728528 | GeneID: 1255082)			369	82	368	0.99729001	20460	117654.36646470251	110348085.91779634	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	85	38	45.12367070974757	42120.9117938553	122.28637048712076	114148.81244947236
ID03831	TADB|AT4803 gi|161612313|ref|NC_010102.1|:c3156317-3155940 NC_010102.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7, complete genome [SPAB_03779]	378.0	AT4803	SPAB_03779	161612313.0	NC_010102.1	c	3156317.0	3155940.0	NC_010102.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7, complete genome	True	4803.0	SPAB_03779	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	161615980	YP_001589945.1	hypothetical protein SPAB_03779	TADB|AT4803 gi|161615980|ref|YP_001589945.1| hypothetical protein SPAB_03779 [Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7] [SPAB_03779]	2.0	NC_010102	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	3155542..3156317	-/AbrB-PIN	SPAB_03778 (132 a.a. | 3155542..3155940 | GeneID: 5778226)	SPAB_03779 (125 a.a. | 3155940..3156317 | GeneID: 5778227)			378	74	377	0.9973537399999998	18691	104922.71599318292	98407064.92281196	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	76	30	40.34587028165664	37661.05054509415	106.73510656522922	99632.40884945545
ID05620	TADB|AT4806 gi|161612313|ref|NC_010102.1|:3927231-3927554 NC_010102.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7, complete genome [SPAB_04696]	324.0	AT4806	SPAB_04696	161612313.0	NC_010102.1		3927231.0	3927554.0	NC_010102.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7, complete genome	False	4806.0	SPAB_04696	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	161616875	YP_001590840.1	hypothetical protein SPAB_04696	TADB|AT4806 gi|161616875|ref|YP_001590840.1| hypothetical protein SPAB_04696 [Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7] [SPAB_04696]	2.0	NC_010102	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	3926888..3927554	-/Xre-RelE	SPAB_04695 (119 a.a. | 3926888..3927247 | GeneID: 5779854)	SPAB_04696 (107 a.a. | 3927231..3927554 | GeneID: 5779855)			324	65	323	0.9969132400000004	15149	99212.80805436747	93051739.56815	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	65	40	34.506336425101075	32210.109018830524	106.5010383490774	99413.91672478557
ID04174	TADB|T5982 gi|198241740|ref|NC_011205.1|:4144215-4144577 NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome [SeD_A4296]	363.0	T5982	SeD_A4296	198241740.0	NC_011205.1		4144215.0	4144577.0	NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome	False	5982.0	SeD_A4296	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	198243412	YP_002217845.1	hypothetical protein SeD_A4296	TADB|T5982 gi|198243412|ref|YP_002217845.1| hypothetical protein SeD_A4296 [Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853] [SeD_A4296]	2.0	NC_011205	Salmonella enterica subsp. enterica serovar Dublin str. CT 02021853	4144215..4144915	-/COG5606-RelE	SeD_A4296 (120 a.a. | 4144215..4144577 | GeneID: 6873618)	SeD_A4297 (113 a.a. | 4144574..4144915 | GeneID: 6872741)			363	62	362	0.99724474	16393	95825.39105655537	89874679.56480436	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	63	26	33.444602996636426	31219.02874132805	92.13389255271744	86002.8339981489
ID03084	TADB|T5977 gi|198241740|ref|NC_011205.1|:c3242608-3242207 NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome [SeD_A3368]	402.0	T5977	SeD_A3368	198241740.0	NC_011205.1	c	3242608.0	3242207.0	NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome	True	5977.0	SeD_A3368	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	198243933	YP_002217011.1	plasmid maintenance protein	TADB|T5977 gi|198243933|ref|YP_002217011.1| plasmid maintenance protein [Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853] [SeD_A3368]	2.0	NC_011205	Salmonella enterica subsp. enterica serovar Dublin str. CT 02021853	3242207..3242832	-/AbrB-PIN	SeD_A3368 (133 a.a. | 3242207..3242608 | GeneID: 6875124)	SeD_A3369 (75 a.a. | 3242605..3242832 | GeneID: 6873286)			402	62	401	0.9975128100000004	15583	82253.38961066862	77145492.99376048	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	66	27	35.0372031393334	32705.649157581764	87.15722173963533	81357.33621288996
ID06017	TADB|T6088 gi|16763390|ref|NC_003197.1|:4241636-4241947 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 chromosome, complete genome. [STM4032.2N]	312.0	T6088	STM4032.2N	16763390.0	NC_003197.1		4241636.0	4241947.0	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 chromosome, complete genome.	False	6088.0	STM4032.2N	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	39546387	NP_945170.1	hypothetical protein STM4032.2N	TADB|T6088 gi|39546387|ref|NP_945170.1| hypothetical protein STM4032.2N [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2] [STM4032.2N]	2.0	NC_003197	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	4241636..4242238	-/Xre-RelE	STM4032.2N (103 a.a. | 4241636..4241947 | GeneID: 2673731)	STM4033 (96 a.a. | 4241948..4242238 | GeneID: 1255559)			312	48	311	0.99679437	11625	79061.88305921335	74152177.49065204	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	49	20	26.012468997383888	24281.466798810703	83.3732980685381	77825.21409875226
ID07076	TADB|T5988 gi|198241740|ref|NC_011205.1|:4775173-4775460 NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome [SeD_A4941]	288.0	T5988	SeD_A4941	198241740.0	NC_011205.1		4775173.0	4775460.0	NC_011205.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome	False	5988.0							2.0	NC_011205	Salmonella enterica subsp. enterica serovar Dublin str. CT 02021853	4775173..4775749	-/RHH-COG2929	SeD_A4941 (95 a.a. | 4775173..4775460 | GeneID: 6873505)	SeD_A4942 (100 a.a. | 4775447..4775749 | GeneID: 6872296)			288	44	287	0.99652724	10333	76131.20924344852	71403497.13363296	1883712	2018	471271540	502475	0.0039970841438886	4.282032392620187e-06	0.0010712890293208	44	23	23.35813542622227	21803.76610505451	81.1046368966051	75707.52119810594
