sample_name	assembled_reads_percentage	assembly_contigs_number	assembly_d50	assembly_gc_percentage	assembly_l50	assembly_l90	assembly_largest_contig_bp	assembly_mean_contigs_bp	assembly_median_contigs_bp	assembly_n50	assembly_n90	assembly_smallest_contig_bp	assembly_total_contigs_bp	expected_assembly_coverage	raw_largest_read_bp	raw_mean_reads_bp	raw_median_reads_bp	raw_reads_number	raw_smallest_read_bp	raw_total_reads_bp	real_assembly_coverage	reference_accession_id	reference_bp	reference_cds_number	reference_description	reference_strain	reference_taxonomy_id	suggested_strain_name
07sq_Nextera	0.761266753814179	81	118294	43.22996565471014	9	27	290398	40431	9661	135566	32515	219	3274976	165.43x	76	75	76	5707000	35	430200844	1.26x	CP018796.1	2600578	2424	Lactobacillus parabuchneri strain FAM21731, complete genome	Lactobacillus parabuchneri FAM21731	152331	VRA_07sq_n
10sq_Nextera	0.717810906849912	15	217562	45.10382181620081	2	6	536034	101815	38520	360727	62317	227	1527232	104.97x	76	75	76	2821628	35	212762440	0.75x	CP015247.1	2026850	1924	Leuconostoc mesenteroides subsp. suionicum strain DSM 20241, complete genome	Leuconostoc suionicum DSM 20241	1511761	VRA_10sq_n
1sq_Nextera	0.5199220801131518	265	28303	32.364682651463475	30	105	105156	10743	3544	28350	6801	210	2847122	1350.47x	76	75	76	7269022	35	547605518	7.02x	CP024068.1	405494	409	Lactobacillus salivarius strain BCRC 14759 plasmid unnamed1, complete sequence	Lactobacillus salivarius BCRC 14759	1624	VRA_1sq_n
2sq_Nextera	1.5132107461308693	32	140530	41.10456284147479	4	12	431381	61795	18894	158901	38219	206	1977452	63.99x	76	75	76	1735076	35	130679220	0.97x	CP035110.1	2042320	1923	Lactobacillus curvatus strain SRCM103465 chromosome, complete genome	Lactobacillus curvatus SRCM103465	28038	VRA_2sq_n
336g_Nextera	0.6209833442398563	38	354838	46.432507322364486	3	9	866069	103252	2479	721226	107844	215	3923596	161.44x	76	75	76	8380456	35	631835948	1.00x	CP029473.2	3913872	3820	Bacillus velezensis strain Hx05 chromosome, complete genome	Bacillus velezensis Hx05	492670	VRA_336g_n
517_Nextera	1.029894252837853	52	327655	46.373563279069636	4	12	864900	76499	1664	341123	59879	206	3977982	98.69x	76	75	76	5128270	35	386251500	1.02x	CP029473.2	3913872	3820	Bacillus velezensis strain Hx05 chromosome, complete genome	Bacillus velezensis Hx05	492670	VRA_517_n
8sq_Nextera	1.5745075077910446	23	225733	34.06418135170299	4	8	503438	130927	3169	460875	181176	210	3011342	74.76x	76	75	76	2546228	35	191256122	1.18x	CP040736.1	2558218	2478	Lactobacillus futsaii strain Y97 chromosome, complete genome	Lactobacillus futsaii Y97	938155	VRA_8sq_n
9sq_Nextera	1.986855907301452	18	230879	60.45319472716113	2	6	973652	118940	9031	322132	128901	225	2140934	49.72x	76	75	76	1432538	35	107754870	0.99x	CP003325.1	2167304	1658	Bifidobacterium asteroides PRL2011, complete genome	Bifidobacterium asteroides PRL2011	1147128	VRA_9sq_n
Undetermined_Nextera	6.379363879188492	9884	417	41.976500194558895	2261	7970	101822	417	281	417	227	206	4124715	634.62x	76	75	76	857144	35	64657152	40.48x	CP007649.1	101883	112	Lactobacillus salivarius strain JCM 1046 plasmid pLMP1046, complete sequence	Lactobacillus salivarius JCM1046	1624	VRA_UND_n
01-1sq_FTP	15.527170860232411	1336	2832	32.4393733489413	212	805	21506	1668	1013	2835	763	207	2229630	140.94x	151	149	151	95754	35	14359538	21.88x	CP007649.1	101883	112	Lactobacillus salivarius strain JCM 1046 plasmid pLMP1046, complete sequence	Lactobacillus salivarius JCM1046	1624	VRA_01-1sq_f
01sq_FTP	11.365709074327405	142	278	38.945096158039334	53	123	1386	322	270	279	240	229	45862	0.20x	151	150	151	2686	64	403512	0.02x	LT960781.1	2050232	2100	Lactobacillus sakei strain J64 genome assembly, chromosome: 1	Lactobacillus sakei J64	1599	VRA_01sq_f
07sq_FTP	16.111730206675155	1606	2817	43.32785087932521	174	921	48399	1601	779	2837	639	222	2571233	6.14x	151	150	151	106358	35	15958764	0.99x	CP018796.1	2600578	2424	Lactobacillus parabuchneri strain FAM21731, complete genome	Lactobacillus parabuchneri FAM21731	152331	VRA_07sq_f
08-1sq_FTP	3.6620744896442146	540	412614	34.37327255387234	3	7	684934	5792	259	474175	218768	229	3127811	33.47x	151	149	151	570798	35	85410906	1.23x	CP017702.1	2551839	2420	Lactobacillus farciminis KCTC 3681 = DSM 20184, complete genome	Lactobacillus farciminis DSM 20184	936140	VRA_08-1sq_f
1-2sq_FTP	1.9255275036120192	550	27122	32.73031625764678	34	123	96024	5237	321	27896	5304	203	2880626	99.23x	151	147	151	1013986	35	149601914	1.91x	CP024063.1	1507589	1445	Lactobacillus salivarius strain BCRC 12574 chromosome	Lactobacillus salivarius BCRC 12574	1624	VRA_1-2sq_f
1sq_FTP	15.045562727910557	1630	2987	32.60404747971456	196	938	80268	1404	660	2995	516	218	2289820	149.38x	151	149	151	101556	35	15219238	22.47x	CP007649.1	101883	112	Lactobacillus salivarius strain JCM 1046 plasmid pLMP1046, complete sequence	Lactobacillus salivarius JCM1046	1624	VRA_1sq_f
2sq_FTP	1.118352489926203	332	158945	41.21749945543266	3	10	627248	6098	257	188312	37913	229	2024543	85.62x	151	149	151	1208374	35	181029060	0.96x	CP022474.1	2114309	1975	Lactobacillus curvatus strain MRS6 chromosome, complete genome	Lactobacillus curvatus MRS6	28038	VRA_2sq_f
336g_FTP	2.0337217542101524	289	385652	46.308627608519174	3	7	1078377	13686	262	400785	254179	219	3955453	49.69x	151	148	151	1309100	35	194493322	1.01x	CP029473.2	3913872	3820	Bacillus velezensis strain Hx05 chromosome, complete genome	Bacillus velezensis Hx05	492670	VRA_336g_f
517g_FTP	8.808783586647467	237	81663	46.37381227092031	14	63	415595	20278	1709	84481	15343	202	4805915	13.43x	151	149	151	364452	35	54558214	1.18x	CP041361.1	4063541	3959	Bacillus velezensis strain WRN014 chromosome, complete genome	Bacillus velezensis WRN014	492670	VRA_517g_f
MhP_FTP	18.67052137836793	3081	2533	54.69384969647087	549	1902	22506	1569	1014	2539	730	201	4835615	119.84x	151	149	151	173152	35	25899732	22.37x	CP016891.1	216117	213	Pantoea agglomerans strain C410P1 plasmid unnamed2, complete sequence	Pantoea agglomerans C410P1	549	VRA_MhP_f
Undetermined_FTP	6.943266501166356	11565	1007	39.891339342751266	1357	8151	101889	764	399	1008	298	207	8836685	1249.18x	151	149	151	848598	35	127269852	86.73x	CP007649.1	101883	112	Lactobacillus salivarius strain JCM 1046 plasmid pLMP1046, complete sequence	Lactobacillus salivarius JCM1046	1624	VRA_UND_f
