reference_id	former_id	id_bp	VFID	gene_host	gene_name	gene_description	gene_symbol	gene_accession_id	vfdb_number	protein_host	protein_name	protein_description	protein_symbol	protein_accession_id	protein_header	VF_Name	VF_FullName	Bacteria	VFCID	VFcategory	Characteristics	Structure	Function	Mechanism	Reference	id_bp.1	id_maximal_coverage_depth	id_coverage_breadth	id_coverage_breadth_to_id_bp	id_mapped_bp	id_total_relative_abundance	id_mapped_relative_abundance	sample_total_reads	sample_mapped_reads	sample_total_bp	sample_mapped_bp	sample_average_total_reads_bp	sample_average_mapped_reads_bp	sample_mapped_reads_to_total_reads	id_mapped_reads	id_unmapped_reads	id_mapped_reads_per_million_sample_total_reads	id_mapped_reads_per_million_sample_mapped_reads	id_mapped_reads_per_kbp_per_million_sample_total_reads	id_mapped_reads_per_kbp_per_million_sample_mapped_reads
ID00288	VFG043589(gb|WP_000044536) (sasA) serine-rich repeat glycoprotein adhesin SasA [SraP (VF1012) - Adherence (VFC0001)] [Staphylococcus aureus subsp. aureus COL]	6786	VF0163	Staphylococcus aureus subsp. aureus COL	SraP (VF1012) - Adherence (VFC0001)	serine-rich repeat glycoprotein adhesin SasA	sasA	gb|WP_000044536	163.0	Helicobacter pylori 26695	Lewis antigen (VF0057) - Immune modulation (VFC0258)	fucosyltransferase	futA	gb|WP_000487428	VFG000308(gb|WP_000487428) (futA) fucosyltransferase [Lewis antigen (VF0057) - Immune modulation (VFC0258)] [Helicobacter pylori 26695]	Enh loci	Enhanced entry	Legionella pneumophila	VFC0346	Others			RtxA gene from the enh1 locus seem to be involved in pore formation		Abstract(s) in PubMed	6786	1657	6411	0.9447391320000006	8084227	503896.5294245096	7414620.062767551	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	33379	499	3443.140981351398	50214.6749186883	507.3888861407896	7399.745788194563
ID05586	VFG044259(gb|WP_001795559) (sbnF) 3-(L-alanin-3-ylcarbamoyl)-2-[(2- aminoethylcarbamoyl)methyl]-2-hydroxypropanoate synthase SbnF [Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	1851	VFG010000	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)	methyl]-2-hydroxypropanoate synthase SbnF	2- aminoethylcarbamoyl	gb|WP_001795559	10000.0	Mycobacterium bovis AF2122/97	Mce2 (VF0825) - Immune modulation (VFC0258)	MCE family protein	mce2A	gb|WP_010950418	VFG010000(gb|WP_010950418) (mce2A) MCE family protein [Mce2 (VF0825) - Immune modulation (VFC0258)] [Mycobacterium bovis AF2122/97]											1851	1335	1850	0.9994601080000004	2008818	459040.3850706947	6754581.248362462	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	8247	220	850.7020483898552	12406.615658180965	459.59051776869546	6702.6556770291545
ID08300	VFG001314(gb|WP_001225025) (aur) zinc metalloproteinase aureolysin [Aureolysin (VF0024) - Exoenzyme (VFC0251)] [Staphylococcus aureus subsp. aureus MW2]	1530	VFG014102	Staphylococcus aureus subsp. aureus MW2	Aureolysin (VF0024) - Exoenzyme (VFC0251)	zinc metalloproteinase aureolysin	aur	gb|WP_001225025	14102.0	Pseudomonas aeruginosa PAO1	LPS (VF0085) - Immune modulation (VFC0258)	UDP-2-acetamido-3-amino-2, 3-dideoxy-D-glucuronate N-acetyltransferase	wbpD	gb|NP_251846	VFG014102(gb|NP_251846) (wbpD) UDP-2-acetamido-3-amino-2, 3-dideoxy-D-glucuronate N-acetyltransferase [LPS (VF0085) - Immune modulation (VFC0258)] [Pseudomonas aeruginosa PAO1]											1530	1468	1529	0.9993460750000032	1646491	455181.5528261408	6697800.196482623	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	6759	95	697.2105183784445	10168.099337170504	455.6931492669572	6645.816560242159
ID06231	VFG044256(gb|WP_001179384) (sbnC) staphyloferrin B biosynthesis protein SbnC [Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	1755	VFG010898	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)	staphyloferrin B biosynthesis protein SbnC	sbnC	gb|WP_001179384	10898.0	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	IraAB (VF0293) - Nutritional/Metabolic factor (VFC0272)	Small-molecule methyltransferase IraA	iraA	gb|WP_010946484	VFG010898(gb|WP_010946484) (iraA) Small-molecule methyltransferase IraA [IraAB (VF0293) - Nutritional/Metabolic factor (VFC0272)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]											1755	1291	1754	0.9994296900000024	1863092	449028.4961264032	6607260.621412865	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	7674	200	791.5954309862676	11544.606349082178	451.0515276275029	6578.123275830301
ID06426	VFG044258(gb|WP_001179888) (sbnE) L-2,3-diaminopropanoate--citrate ligase SbnE [Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	1737	VFG011225	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)	L-2,3-diaminopropanoate--citrate ligase SbnE	sbnE	gb|WP_001179888	11225.0	Bordetella pertussis Tohama I	LPS-modifying enzyme (VF0684) - Immune modulation (VFC0258)	palmitoyltransferase PagP	A	gb|WP_010931248	VFG011225(gb|WP_010931248) (pagP) lipid IV(A) palmitoyltransferase PagP [LPS-modifying enzyme (VF0684) - Immune modulation (VFC0258)] [Bordetella pertussis Tohama I]											1737	1353	1736	0.9994245350000024	1815867	442181.87867025216	6506515.598996359	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	7466	181	770.1396257158555	11231.69546550007	443.3734172227147	6466.145921416276
ID12002	VFG044257(gb|WP_000610051) (sbnD) staphyloferrin B export MFS transporter [Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	1257	VFG019861	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)	staphyloferrin B export MFS transporter	sbnD	gb|WP_000610051	19861.0	Pseudomonas aeruginosa LESB58	Flagella (VF0273) - Motility (VFC0204)	flagellar biosynthesis protein FlhF	flhF	gb|WP_003083061	VFG019861(gb|WP_003083061) (flhF) flagellar biosynthesis protein FlhF [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa LESB58]											1257	1302	1256	0.9992042750000008	1311952	441468.1646380338	6496013.604889735	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	5532	218	570.641897865003	8322.225999885668	453.9712791288806	6620.704852733228
ID21500	VFG044260(gb|WP_001186806) (sbnG) staphyloferrin B biosynthesis citrate synthase SbnG [Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	777	VFG041396	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)	staphyloferrin B biosynthesis citrate synthase SbnG	sbnG	gb|WP_001186806	41396.0	Ehrlichia chaffeensis str. Arkansas	T4SS (VF1269) - Effector delivery system (VFC0086)	type IV secretion system protein	ECH_RS02065	gb|WP_011452637	VFG041396(gb|WP_011452637) (ECH_RS02065) type IV secretion system protein [T4SS (VF1269) - Effector delivery system (VFC0086)] [Ehrlichia chaffeensis str. Arkansas]											777	1377	776	0.9987123399999984	797067	433900.88195471937	6384664.304531549	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	3339	250	344.4275663360891	5023.122309041621	443.27872115326784	6464.764876501442
ID00321	VFG043587(gb|WP_001050554) (sasC) LPXTG-anchored repetitive surface protein SasC [SasC (VF1010) - Biofilm (VFC0271)] [Staphylococcus aureus subsp. aureus COL]	6561	VF0607	Staphylococcus aureus subsp. aureus COL	SasC (VF1010) - Biofilm (VFC0271)	LPXTG-anchored repetitive surface protein SasC	sasC	gb|WP_001050554	607.0	Haemophilus influenzae Rd KW20	HitABC (VF0268) - Nutritional/Metabolic factor (VFC0272)	iron ABC transporter permease	hitB	gb|WP_164927854	VFG000343(gb|WP_164927854) (hitB) iron ABC transporter permease [HitABC (VF0268) - Nutritional/Metabolic factor (VFC0272)] [Haemophilus influenzae Rd KW20]	GtcA		Listeria monocytogenes	VFC0315	Post-translational modification			Crucial for both phage adsorption and cellular invasiveness	Small membrane protein GtcA is necessary for the glycosylaction of bacterial cell wall polymers wall teichoic acid (WTA) or lipoteichoic acid (LTA) glycosylation	Abstract(s) in PubMed	6561	1345	6560	0.999847807	6579999	424201.8054663093	6241946.577931179	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	26954	156	2780.3835348975576	40549.03825034676	423.77435374143545	6180.313709853187
ID16823	VFG044255(gb|WP_001078456) (sbnB) N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase SbnB [Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	1011	VFG031973	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)	-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase SbnB	2S	gb|WP_001078456	31973.0	Listeria monocytogenes J1-220	InlJ (VF0445) - Adherence (VFC0001)	internalin J	inlJ	gb|WP_003734201	VFG031973(gb|WP_003734201) (inlJ) internalin J [InlJ (VF0445) - Adherence (VFC0001)] [Listeria monocytogenes J1-220]											1011	1285	1010	0.9990109800000008	1004097	420088.92934520426	6181427.379995739	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	4168	278	429.9413286878764	6270.252705626078	425.2634309474544	6202.0303715391465
ID17138	VFG044251(gb|WP_000136636) (sirC) staphyloferrin B ABC transporter permease subunit SirC [Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman]	999	VFG033143	Staphylococcus aureus subsp. aureus str. Newman	Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)	staphyloferrin B ABC transporter permease subunit SirC	sirC	gb|WP_000136636	33143.0	Escherichia coli NA114	P fimbriae (VF0220) - Adherence (VFC0001)	P pilus major subunit PapA	papA	gb|WP_000597755	VFG033143(gb|WP_000597755) (papA) P pilus major subunit PapA [P fimbriae (VF0220) - Adherence (VFC0001)] [Escherichia coli NA114]											999	1297	998	0.9989982499999972	991670	419873.44619659823	6178256.638417766	9694346	664726	2364194906	160670351	0.0041004851061124	0.0002811637899705	0.0685684212220195	4115	192	424.4742244603195	6190.520605482559	424.89912358390336	6196.717322805365
